emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-401,Anatomy,Cardiovascular,vocabulary,Aorta,Largest artery carrying oxygenated blood from the heart,Largest vein,Largest artery from heart,Heart chamber,Lung vessel,B,The aorta is the main artery leaving the left ventricle distributing oxygenated blood to the entire body. It arches over the heart and descends through the thorax and abdomen branching to all organs.
EMR-VOCAB-402,Anatomy,Cardiovascular,vocabulary,Vena cava,Large veins returning deoxygenated blood to the heart,Large arteries,Large veins to heart,Heart valves,Lung vessels,B,The superior and inferior vena cava are the largest veins returning deoxygenated blood from the body to the right atrium. Superior drains the head and arms inferior drains the abdomen and legs.
EMR-VOCAB-403,Anatomy,Cardiovascular,vocabulary,Coronary arteries,Blood vessels that supply the heart muscle itself,Veins from heart,Arteries feeding heart muscle,Lung arteries,Brain arteries,B,Coronary arteries branch from the aorta and supply oxygenated blood to the myocardium. Blockage causes myocardial ischemia and infarction. The left and right coronary arteries are the main branches.
EMR-VOCAB-404,Anatomy,Cardiovascular,vocabulary,Carotid artery,Major artery in the neck supplying the head and brain,Neck vein,Neck artery to brain,Arm artery,Leg artery,B,The carotid arteries run along both sides of the neck supplying blood to the brain face and head. The carotid pulse is palpated in the neck and is used for pulse checks in adults.
EMR-VOCAB-405,Anatomy,Cardiovascular,vocabulary,Femoral artery,Major artery in the groin and thigh,Arm artery,Thigh artery,Neck artery,Abdominal artery,B,The femoral artery is the major artery of the lower extremity running through the groin and thigh. The femoral pulse can be palpated in the groin crease. Femoral bleeding can be life-threatening.
EMR-VOCAB-406,Anatomy,Cardiovascular,vocabulary,Radial artery,Artery at the wrist used for pulse assessment,Neck artery,Wrist artery,Ankle artery,Elbow artery,B,The radial artery runs along the lateral or thumb side of the wrist. It is the most common site for pulse assessment in conscious patients. Absence of radial pulse may indicate shock.
EMR-VOCAB-407,Anatomy,Cardiovascular,vocabulary,Brachial artery,Artery in the upper arm used for blood pressure and infant pulse,Leg artery,Upper arm artery,Neck artery,Wrist artery,B,The brachial artery runs along the inner upper arm. It is used for blood pressure measurement with a stethoscope placed over it. In infants it is the preferred pulse check site.
EMR-VOCAB-408,Anatomy,Cardiovascular,vocabulary,Posterior tibial artery,Artery behind the inner ankle bone,Front of ankle,Behind inner ankle,Behind outer ankle,Top of foot,B,The posterior tibial artery runs behind the medial malleolus inner ankle bone. Its pulse can be palpated there to assess lower extremity circulation especially after injury.
EMR-VOCAB-409,Anatomy,Cardiovascular,vocabulary,Dorsalis pedis artery,Artery on top of the foot,Bottom of foot,Top of foot,Ankle bone,Heel,B,The dorsalis pedis artery runs across the top of the foot. Its pulse can be palpated to assess foot circulation. Absence may indicate arterial disease or injury.
EMR-VOCAB-410,Anatomy,Respiratory,vocabulary,Pharynx,Throat area behind the mouth and nose,Voice box,Throat cavity,Windpipe,Food tube,B,The pharynx is the throat extending from the back of the nasal cavity to the larynx and esophagus. It is divided into nasopharynx oropharynx and laryngopharynx. It is part of both airway and digestive tract.
EMR-VOCAB-411,Anatomy,Respiratory,vocabulary,Larynx,Voice box containing the vocal cords,Throat,Voice box,Windpipe,Bronchus,B,The larynx or voice box connects the pharynx to the trachea. It contains the vocal cords and epiglottis. The cricoid cartilage at its base is the only complete cartilage ring in the airway.
EMR-VOCAB-412,Anatomy,Respiratory,vocabulary,Epiglottis,Flap that covers the airway during swallowing,Vocal cord,Airway cover flap,Tongue,Throat,B,The epiglottis is a leaf-shaped cartilage that folds over the glottis during swallowing to prevent aspiration. Epiglottitis causes it to swell potentially obstructing the airway completely.
EMR-VOCAB-413,Anatomy,Respiratory,vocabulary,Carina,Point where trachea divides into right and left bronchi,Top of trachea,Trachea division point,Lung base,Throat,B,The carina is the ridge at the tracheal bifurcation where it divides into right and left main bronchi. It is located approximately at the level of the sternal angle or second intercostal space.
EMR-VOCAB-414,Anatomy,Respiratory,vocabulary,Bronchioles,Smallest airways leading to alveoli,Large airways,Smallest airways,Air sacs,Trachea branches,B,Bronchioles are the smallest conducting airways less than 1mm diameter leading to the alveoli. They lack cartilage and are surrounded by smooth muscle that can constrict in asthma.
EMR-VOCAB-415,Anatomy,Respiratory,vocabulary,Alveoli,Tiny air sacs where gas exchange occurs,Large airways,Gas exchange air sacs,Bronchi,Trachea,B,Alveoli are microscopic air sacs at the end of bronchioles where oxygen and carbon dioxide exchange with blood occurs. There are approximately 300 million alveoli providing enormous surface area for gas exchange.
EMR-VOCAB-416,Anatomy,Respiratory,vocabulary,Pleura,Membrane surrounding the lungs,Lung tissue,Lung membrane,Heart membrane,Chest muscle,B,The pleura is a double-layered membrane. The visceral pleura covers the lungs and the parietal pleura lines the chest wall. The potential space between them normally contains only a thin fluid layer.
EMR-VOCAB-417,Anatomy,Respiratory,vocabulary,Pleural space,Potential space between lung and chest wall membranes,Inside the lung,Space between pleural layers,Heart space,Abdominal space,B,The pleural space is the potential space between visceral and parietal pleura. Normally it contains minimal fluid. Air pneumothorax or blood hemothorax in this space compresses the lung.
EMR-VOCAB-418,Anatomy,Respiratory,vocabulary,Diaphragm,Primary muscle of breathing separating chest and abdomen,Chest muscle,Main breathing muscle,Neck muscle,Back muscle,B,The diaphragm is the dome-shaped muscle separating thorax from abdomen. Contraction flattens it increasing thoracic volume and creating negative pressure for inhalation. It provides about 70% of breathing effort.
EMR-VOCAB-419,Anatomy,Respiratory,vocabulary,Intercostal muscles,Muscles between the ribs assisting breathing,Abdominal muscles,Rib muscles,Neck muscles,Back muscles,B,Intercostal muscles are located between ribs. External intercostals elevate ribs during inspiration while internal intercostals depress ribs during forced expiration. They are accessory muscles of respiration.
EMR-VOCAB-420,Anatomy,Nervous,vocabulary,Cerebrum,Largest part of brain controlling thought and voluntary movement,Brain stem,Largest brain portion,Spinal cord,Cerebellum,B,The cerebrum is the largest brain portion divided into left and right hemispheres. It controls higher functions including thought memory speech sensation and voluntary movement. Different lobes control different functions.
EMR-VOCAB-421,Anatomy,Nervous,vocabulary,Cerebellum,Brain portion controlling coordination and balance,Thinking brain,Coordination brain portion,Brain stem,Spinal cord,B,The cerebellum is located at the back of the brain below the cerebrum. It coordinates movement balance and posture. Damage causes ataxia uncoordinated movement and balance problems.
EMR-VOCAB-422,Anatomy,Nervous,vocabulary,Brain stem,Lower brain controlling vital functions like breathing,Thinking brain,Vital function control area,Spinal cord,Cerebellum,B,The brain stem connects the brain to the spinal cord and controls vital functions including consciousness breathing heart rate and blood pressure. It includes the midbrain pons and medulla.
EMR-VOCAB-423,Anatomy,Nervous,vocabulary,Medulla oblongata,Brain stem portion controlling breathing and heart rate,Upper brain,Breathing and heart control,Spinal cord,Cerebrum,B,The medulla oblongata is the lowest portion of the brain stem containing centers controlling respiration heart rate blood pressure and reflexes like swallowing and vomiting. Damage is usually fatal.
EMR-VOCAB-424,Anatomy,Nervous,vocabulary,Meninges,Protective membranes covering the brain and spinal cord,Brain tissue,Brain and cord coverings,Skull bone,Vertebrae,B,The meninges are three protective membranes: dura mater outermost arachnoid mater middle and pia mater innermost. They protect the CNS and contain cerebrospinal fluid. Meningitis is their inflammation.
EMR-VOCAB-425,Anatomy,Nervous,vocabulary,Cerebrospinal fluid,Fluid surrounding and cushioning the brain and spinal cord,Blood,Brain cushioning fluid,Lymph,Mucus,B,CSF fills the ventricles and subarachnoid space cushioning and protecting the brain and spinal cord. It also removes waste and provides nutrients. CSF leakage after trauma indicates skull fracture.
EMR-VOCAB-426,Anatomy,Nervous,vocabulary,Autonomic nervous system,Controls involuntary functions like heart rate and digestion,Voluntary movement control,Involuntary function control,Thinking control,Balance control,B,The autonomic nervous system controls involuntary functions without conscious thought. It has two divisions: sympathetic fight or flight and parasympathetic rest and digest with opposing effects.
EMR-VOCAB-427,Anatomy,Nervous,vocabulary,Sympathetic nervous system,Fight or flight response system,Rest and digest,Fight or flight system,Voluntary movement,Balance control,B,The sympathetic nervous system prepares the body for stress causing increased heart rate bronchodilation pupil dilation and blood flow to muscles. Epinephrine mimics sympathetic activation.
EMR-VOCAB-428,Anatomy,Nervous,vocabulary,Parasympathetic nervous system,Rest and digest response system,Fight or flight,Rest and digest system,Voluntary movement,Balance control,B,The parasympathetic nervous system promotes rest and recovery causing decreased heart rate increased digestion pupil constriction and energy conservation. It opposes sympathetic effects.
EMR-VOCAB-429,Anatomy,Skeletal,vocabulary,Sternum,Breastbone in the center of the chest,Collar bone,Breastbone,Shoulder blade,Rib,B,The sternum is the flat bone in the center of the anterior chest. It connects to the clavicles and ribs. Chest compressions are performed on the lower half of the sternum.
EMR-VOCAB-430,Anatomy,Skeletal,vocabulary,Clavicle,Collar bone connecting shoulder to sternum,Breastbone,Collar bone,Shoulder blade,Upper arm bone,B,The clavicle connects the sternum to the scapula and is commonly fractured from falls on outstretched arm or direct trauma. It can be palpated along its entire length.
EMR-VOCAB-431,Anatomy,Skeletal,vocabulary,Scapula,Shoulder blade on the posterior thorax,Collar bone,Shoulder blade,Breastbone,Upper arm bone,B,The scapula is the triangular bone on the posterior thorax forming part of the shoulder joint. It is protected by overlying muscles but can be fractured by significant trauma.
EMR-VOCAB-432,Anatomy,Skeletal,vocabulary,Humerus,Upper arm bone,Forearm bone,Upper arm bone,Thigh bone,Shin bone,B,The humerus is the single bone of the upper arm extending from shoulder to elbow. The radial nerve wraps around it and can be injured with humeral fractures.
EMR-VOCAB-433,Anatomy,Skeletal,vocabulary,Radius,Lateral forearm bone on the thumb side,Medial forearm bone,Thumb-side forearm bone,Upper arm bone,Wrist bone,B,The radius is the lateral forearm bone on the thumb side. Its distal end at the wrist is commonly fractured in falls on outstretched hand Colles fracture. The radial pulse is palpated near it.
EMR-VOCAB-434,Anatomy,Skeletal,vocabulary,Ulna,Medial forearm bone on the pinky side,Lateral forearm bone,Pinky-side forearm bone,Upper arm bone,Wrist bone,B,The ulna is the medial forearm bone on the pinky side. The olecranon process forms the point of the elbow. It articulates with the humerus at the elbow.
EMR-VOCAB-435,Anatomy,Skeletal,vocabulary,Pelvis,Hip bones forming the lower trunk,Spine bones,Hip bone structure,Thigh bones,Knee bones,B,The pelvis is formed by the two hip bones ilium ischium pubis sacrum and coccyx. It protects pelvic organs supports the spine and transfers weight to legs. Pelvic fractures cause major bleeding.
EMR-VOCAB-436,Anatomy,Skeletal,vocabulary,Femur,Thigh bone the largest bone in the body,Shin bone,Thigh bone,Arm bone,Hip bone,B,The femur is the largest strongest bone extending from hip to knee. Femur fractures require significant force and can cause 1-2 liters of blood loss into the thigh.
EMR-VOCAB-437,Anatomy,Skeletal,vocabulary,Patella,Kneecap,Thigh bone,Kneecap,Shin bone,Ankle bone,B,The patella is the sesamoid bone embedded in the quadriceps tendon that protects the front of the knee joint. It can be fractured by direct trauma or forceful muscle contraction.
EMR-VOCAB-438,Anatomy,Skeletal,vocabulary,Tibia,Shin bone the larger bone of the lower leg,Calf bone,Shin bone,Thigh bone,Ankle bone,B,The tibia is the larger medial bone of the lower leg bearing most of the body weight. Its anterior surface the shin is subcutaneous and commonly injured. It articulates with femur and talus.
EMR-VOCAB-439,Anatomy,Skeletal,vocabulary,Fibula,Smaller lateral bone of the lower leg,Shin bone,Lateral lower leg bone,Thigh bone,Foot bone,B,The fibula is the smaller lateral bone of the lower leg. It does not bear significant weight but provides muscle attachment and forms part of the ankle joint. It commonly fractures with ankle injuries.
EMR-VOCAB-440,Anatomy,Skeletal,vocabulary,Cervical vertebrae,Seven neck vertebrae,Chest vertebrae,Neck vertebrae,Low back vertebrae,Tailbone,B,The seven cervical vertebrae C1-C7 form the neck portion of the spine. They are smaller and more mobile than other vertebrae. Cervical spine injury can cause paralysis or death.
EMR-VOCAB-441,Anatomy,Skeletal,vocabulary,Thoracic vertebrae,Twelve chest vertebrae articulating with ribs,Neck vertebrae,Chest vertebrae,Low back vertebrae,Tailbone,B,The twelve thoracic vertebrae T1-T12 form the upper and mid back. Each articulates with a pair of ribs. They are less mobile than cervical vertebrae due to rib attachments.
