emr_id,category,subcategory,question_type,term,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-101,Medical Terminology,Prefixes,vocabulary,Tachy-,What prefix means fast or rapid?,Brady-,Tachy-,Hypo-,Hyper-,B,The prefix tachy- means fast or rapid. For example tachycardia means fast heart rate greater than 100 beats per minute in adults and tachypnea means rapid breathing. The opposite prefix brady- means slow.
EMR-VOCAB-102,Medical Terminology,Prefixes,vocabulary,Brady-,What prefix means slow?,Tachy-,Brady-,Dys-,Poly-,B,The prefix brady- means slow. For example bradycardia means slow heart rate less than 60 beats per minute in adults and bradypnea means slow breathing. The opposite prefix tachy- means fast.
EMR-VOCAB-103,Medical Terminology,Prefixes,vocabulary,Hyper-,What prefix means excessive above normal or high?,Hypo-,Hyper-,Poly-,Oligo-,B,The prefix hyper- means excessive above normal or high. For example hypertension means high blood pressure hyperglycemia means high blood sugar and hyperthermia means abnormally high body temperature. The opposite prefix hypo- means low or below normal.
EMR-VOCAB-104,Medical Terminology,Prefixes,vocabulary,Hypo-,What prefix means below normal deficient or low?,Hyper-,Hypo-,Dys-,A-,B,The prefix hypo- means below normal deficient or low. For example hypotension means low blood pressure hypoglycemia means low blood sugar and hypothermia means abnormally low body temperature. The opposite prefix hyper- means high or excessive.
EMR-VOCAB-105,Medical Terminology,Prefixes,vocabulary,Dys-,What prefix means difficult painful or abnormal?,Eu-,Dys-,A-,Poly-,B,The prefix dys- means difficult painful or abnormal. For example dyspnea means difficult breathing dysrhythmia means abnormal heart rhythm and dysphagia means difficulty swallowing. The opposite prefix eu- means good normal or easy.
EMR-VOCAB-106,Medical Terminology,Prefixes,vocabulary,A- or An-,What prefix means without or absence of?,Anti-,A- or An-,Poly-,Hypo-,B,The prefix a- or an- means without or absence of. For example apnea means absence of breathing asystole means absence of heart rhythm and anoxia means absence of oxygen. The prefix an- is used before vowels.
EMR-VOCAB-107,Medical Terminology,Prefixes,vocabulary,Poly-,What prefix means many or much?,Mono-,Oligo-,Poly-,Uni-,C,The prefix poly- means many or much. For example polyuria means excessive urination polydipsia means excessive thirst and polyphagia means excessive eating. These three symptoms together are classic signs of diabetes.
EMR-VOCAB-108,Medical Terminology,Prefixes,vocabulary,Bi-,What prefix means two or both?,Uni-,Bi-,Tri-,Quad-,B,The prefix bi- means two or both. For example bilateral means on both sides biceps refers to a muscle with two heads and bigeminy refers to a cardiac rhythm with beats occurring in pairs.
EMR-VOCAB-109,Medical Terminology,Prefixes,vocabulary,Hemi-,What prefix means half or one side?,Semi-,Hemi-,Mono-,Uni-,B,The prefix hemi- means half or one side. For example hemiplegia means paralysis of one side of the body and hemiparesis means weakness on one side. Hemiplegia is often seen in stroke patients.
EMR-VOCAB-110,Medical Terminology,Prefixes,vocabulary,Quadri-,What prefix means four?,Bi-,Tri-,Quadri-,Penta-,C,The prefix quadri- or quad- means four. For example quadriplegia means paralysis of all four extremities and quadrant refers to one of four sections of the abdomen.
EMR-VOCAB-111,Medical Terminology,Prefixes,vocabulary,Anti-,What prefix means against?,Pro-,Anti-,Pre-,Post-,B,The prefix anti- means against or opposing. For example antibiotic means against bacteria anticoagulant means against clotting and antihypertensive means against high blood pressure.
EMR-VOCAB-112,Medical Terminology,Prefixes,vocabulary,Pre-,What prefix means before?,Post-,Pre-,Anti-,Pro-,B,The prefix pre- means before in time or place. For example prehospital means before the hospital prenatal means before birth and preschool means before school age.
EMR-VOCAB-113,Medical Terminology,Prefixes,vocabulary,Post-,What prefix means after?,Pre-,Post-,Anti-,Pro-,B,The prefix post- means after in time or place. For example postictal means after a seizure postpartum means after childbirth and postoperative means after surgery.
EMR-VOCAB-114,Medical Terminology,Prefixes,vocabulary,Sub-,What prefix means under or below?,Super-,Sub-,Trans-,Inter-,B,The prefix sub- means under below or beneath. For example subcutaneous means under the skin sublingual means under the tongue and subxiphoid means below the xiphoid process.
EMR-VOCAB-115,Medical Terminology,Prefixes,vocabulary,Inter-,What prefix means between?,Intra-,Inter-,Trans-,Sub-,B,The prefix inter- means between. For example intercostal means between the ribs intervertebral means between vertebrae and intervention means coming between to modify an outcome.
EMR-VOCAB-116,Medical Terminology,Prefixes,vocabulary,Intra-,What prefix means within or inside?,Inter-,Intra-,Extra-,Trans-,B,The prefix intra- means within or inside. For example intravenous IV means within a vein intramuscular IM means within a muscle and intracranial means within the skull.
EMR-VOCAB-117,Medical Terminology,Prefixes,vocabulary,Trans-,What prefix means across or through?,Inter-,Intra-,Trans-,Sub-,C,The prefix trans- means across or through. For example transdermal means through the skin transcutaneous means across the skin and transport means to carry across.
EMR-VOCAB-118,Medical Terminology,Prefixes,vocabulary,Peri-,What prefix means around or surrounding?,Para-,Peri-,Epi-,Endo-,B,The prefix peri- means around or surrounding. For example pericardium means the sac around the heart periorbital means around the eye socket and peripheral means away from the center or around the outside.
EMR-VOCAB-119,Medical Terminology,Prefixes,vocabulary,Epi-,What prefix means upon above or over?,Endo-,Epi-,Hypo-,Sub-,B,The prefix epi- means upon above or over. For example epidermis is the outer layer upon the dermis epiglottis is above the glottis and epigastric refers to the region above the stomach.
EMR-VOCAB-120,Medical Terminology,Prefixes,vocabulary,Endo-,What prefix means within or inner?,Exo-,Endo-,Epi-,Peri-,B,The prefix endo- means within or inner. For example endocardium is the inner lining of the heart endotracheal means within the trachea and endocrine refers to glands that secrete hormones internally.
EMR-VOCAB-121,Medical Terminology,Suffixes,vocabulary,-itis,What suffix means inflammation?,"-osis","-itis","-ectomy","-plasty",B,The suffix -itis means inflammation. For example appendicitis means inflammation of the appendix bronchitis means inflammation of the bronchi and meningitis means inflammation of the meninges.
EMR-VOCAB-122,Medical Terminology,Suffixes,vocabulary,-osis,What suffix means abnormal condition or disease process?,"-itis","-osis","-emia","-pathy",B,The suffix -osis means abnormal condition or disease process. For example cyanosis is the abnormal condition of blue discoloration stenosis is abnormal narrowing and necrosis is the condition of cell death.
EMR-VOCAB-123,Medical Terminology,Suffixes,vocabulary,-emia,What suffix refers to a blood condition?,"-osis","-itis","-emia","-uria",C,The suffix -emia refers to a blood condition. For example hypoglycemia means low blood sugar anemia means low red blood cells and septicemia means bacterial infection in the blood.
EMR-VOCAB-124,Medical Terminology,Suffixes,vocabulary,-pnea,What suffix refers to breathing?,"-pnea","-cardia","-emia","-algia",A,The suffix -pnea refers to breathing. For example apnea means no breathing dyspnea means difficult breathing tachypnea means fast breathing and orthopnea means difficulty breathing except when upright.
EMR-VOCAB-125,Medical Terminology,Suffixes,vocabulary,-cardia,What suffix refers to the heart or heart condition?,"-pnea","-cardia","-plegia","-algia",B,The suffix -cardia refers to the heart or a heart condition. For example tachycardia means fast heart rate bradycardia means slow heart rate and myocardia refers to the heart muscle.
EMR-VOCAB-126,Medical Terminology,Suffixes,vocabulary,-algia,What suffix means pain?,"-itis","-osis","-algia","-ectomy",C,The suffix -algia means pain. For example myalgia means muscle pain neuralgia means nerve pain and arthralgia means joint pain.
EMR-VOCAB-127,Medical Terminology,Suffixes,vocabulary,-plegia,What suffix means paralysis?,"-paresis","-plegia","-pathy","-trophy",B,The suffix -plegia means paralysis or complete loss of movement. For example hemiplegia means paralysis of half the body paraplegia means paralysis of the lower body and quadriplegia means paralysis of all four limbs.
EMR-VOCAB-128,Medical Terminology,Suffixes,vocabulary,-paresis,What suffix means weakness or partial paralysis?,"-plegia","-paresis","-pathy","-trophy",B,The suffix -paresis means weakness or partial paralysis. For example hemiparesis means weakness on one side of the body. This is distinguished from -plegia which means complete paralysis.
EMR-VOCAB-129,Medical Terminology,Suffixes,vocabulary,-pathy,What suffix means disease or suffering?,"-osis","-itis","-pathy","-algia",C,The suffix -pathy means disease or suffering. For example neuropathy means nerve disease cardiomyopathy means heart muscle disease and encephalopathy means brain disease or dysfunction.
EMR-VOCAB-130,Medical Terminology,Suffixes,vocabulary,-sclerosis,What suffix means hardening?,"-stenosis","-sclerosis","-ectasis","-malacia",B,The suffix -sclerosis means hardening. For example arteriosclerosis means hardening of the arteries atherosclerosis means hardening due to fatty deposits and multiple sclerosis involves hardening of nerve tissue.
EMR-VOCAB-131,Medical Terminology,Suffixes,vocabulary,-stenosis,What suffix means narrowing?,"-sclerosis","-stenosis","-ectasis","-megaly",B,The suffix -stenosis means narrowing or stricture. For example aortic stenosis means narrowing of the aortic valve and spinal stenosis means narrowing of the spinal canal.
EMR-VOCAB-132,Medical Terminology,Suffixes,vocabulary,-megaly,What suffix means enlargement?,"-trophy","-megaly","-ectasis","-plasty",B,The suffix -megaly means enlargement. For example cardiomegaly means enlarged heart hepatomegaly means enlarged liver and splenomegaly means enlarged spleen.
EMR-VOCAB-133,Medical Terminology,Suffixes,vocabulary,-ectomy,What suffix means surgical removal?,"-otomy","-ectomy","-ostomy","-plasty",B,The suffix -ectomy means surgical removal or excision. For example appendectomy means removal of the appendix cholecystectomy means removal of the gallbladder and mastectomy means removal of the breast.
EMR-VOCAB-134,Medical Terminology,Suffixes,vocabulary,-otomy,What suffix means surgical incision or cutting into?,"-ectomy","-otomy","-ostomy","-plasty",B,The suffix -otomy means surgical incision or cutting into. For example tracheotomy means cutting into the trachea thoracotomy means cutting into the chest and craniotomy means cutting into the skull.
EMR-VOCAB-135,Medical Terminology,Suffixes,vocabulary,-ostomy,What suffix means creating an artificial opening?,"-otomy","-ectomy","-ostomy","-plasty",C,The suffix -ostomy means creating an artificial opening. For example tracheostomy is a permanent opening in the trachea colostomy is an opening from the colon to the abdominal surface and gastrostomy is an opening into the stomach.
EMR-VOCAB-136,Medical Terminology,Root Words,vocabulary,Cardi/o,What root word refers to the heart?,Pulmo,Cardi/o,Hepat/o,Ren/o,B,The root word cardi/o refers to the heart. For example cardiology is the study of the heart cardiomyopathy is heart muscle disease and cardiovascular refers to the heart and blood vessels.
EMR-VOCAB-137,Medical Terminology,Root Words,vocabulary,Pulmo/Pneumo,What root words refer to the lungs?,Cardi/o,Pulmo/Pneumo,Hepat/o,Gastr/o,B,The root words pulmo and pneumo refer to the lungs. For example pulmonary means relating to the lungs pneumonia is lung infection and pneumothorax means air in the chest cavity.
EMR-VOCAB-138,Medical Terminology,Root Words,vocabulary,Hepat/o,What root word refers to the liver?,Ren/o,Hepat/o,Splen/o,Cardi/o,B,The root word hepat/o refers to the liver. For example hepatitis means liver inflammation hepatomegaly means enlarged liver and hepatic refers to something related to the liver.
EMR-VOCAB-139,Medical Terminology,Root Words,vocabulary,Ren/o or Nephr/o,What root words refer to the kidney?,Hepat/o,Ren/o or Nephr/o,Splen/o,Cyst/o,B,The root words ren/o and nephr/o refer to the kidney. For example renal means relating to the kidneys nephritis means kidney inflammation and nephrology is the study of kidney diseases.
EMR-VOCAB-140,Medical Terminology,Root Words,vocabulary,Neur/o,What root word refers to nerves or the nervous system?,Myo,Neur/o,Oste/o,Arthr/o,B,The root word neur/o refers to nerves or the nervous system. For example neurology is the study of the nervous system neuropathy means nerve disease and neurological refers to the nervous system.
EMR-VOCAB-141,Medical Terminology,Root Words,vocabulary,Myo,What root word refers to muscle?,Neur/o,Myo,Oste/o,Arthr/o,B,The root word myo refers to muscle. For example myocardium is heart muscle myalgia means muscle pain and myopathy means muscle disease.
EMR-VOCAB-142,Medical Terminology,Root Words,vocabulary,Oste/o,What root word refers to bone?,Myo,Arthr/o,Oste/o,Chondr/o,C,The root word oste/o refers to bone. For example osteology is the study of bones osteoporosis means porous bones and osteomyelitis means bone infection.
EMR-VOCAB-143,Medical Terminology,Root Words,vocabulary,Arthr/o,What root word refers to joints?,Oste/o,Myo,Arthr/o,Chondr/o,C,The root word arthr/o refers to joints. For example arthritis means joint inflammation arthroscopy is examination of a joint and arthroplasty is surgical repair of a joint.
EMR-VOCAB-144,Medical Terminology,Root Words,vocabulary,Derm/o or Dermat/o,What root words refer to the skin?,Oste/o,Derm/o or Dermat/o,Myo,Neur/o,B,The root words derm/o and dermat/o refer to the skin. For example dermatitis means skin inflammation dermatology is the study of skin and subcutaneous means under the skin.
EMR-VOCAB-145,Medical Terminology,Root Words,vocabulary,Cephal/o,What root word refers to the head?,Cervic/o,Cephal/o,Thorac/o,Abdomin/o,B,The root word cephal/o refers to the head. For example cephalic means toward the head encephalitis means brain inflammation and hydrocephalus means water on the brain.
EMR-VOCAB-146,Medical Terminology,Abbreviations,vocabulary,BP,What does the abbreviation BP stand for?,Breathing pattern,Blood pressure,Beats per minute,Bowel perforation,B,BP stands for blood pressure which is the force of blood against arterial walls measured in millimeters of mercury mmHg. Normal adult BP is approximately 120/80 mmHg.
EMR-VOCAB-147,Medical Terminology,Abbreviations,vocabulary,HR,What does the abbreviation HR stand for?,High risk,Heart rate,Hourly rate,Health record,B,HR stands for heart rate which is the number of times the heart beats per minute. Normal adult heart rate at rest is 60-100 beats per minute.
EMR-VOCAB-148,Medical Terminology,Abbreviations,vocabulary,RR,What does the abbreviation RR stand for?,Rapid response,Respiratory rate,Rest and recovery,Right radial,B,RR stands for respiratory rate which is the number of breaths per minute. Normal adult respiratory rate at rest is 12-20 breaths per minute.
EMR-VOCAB-149,Medical Terminology,Abbreviations,vocabulary,SpO2,What does the abbreviation SpO2 stand for?,Spinal oxygen,Peripheral oxygen saturation,Spontaneous oxygen,Special oxygen,B,SpO2 stands for peripheral oxygen saturation measured by pulse oximetry. It represents the percentage of hemoglobin saturated with oxygen. Normal SpO2 is 94-100% on room air.
EMR-VOCAB-150,Medical Terminology,Abbreviations,vocabulary,LOC,What does the abbreviation LOC stand for?,Location,Level of consciousness,Loss of control,Left of center,B,LOC stands for level of consciousness which describes how alert and oriented a patient is. It is typically assessed using AVPU Alert Verbal Pain Unresponsive or the Glasgow Coma Scale.
