emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-451,Special Populations,Pediatric Anatomy,true_false,Infants have proportionally larger heads and tongues compared to adults making airway obstruction more likely.,TRUE,Infants have large heads relative to body size and large tongues relative to oral cavity. These anatomical differences make airway obstruction more common and airway management more challenging in pediatric patients.
EMR-TF-452,Special Populations,Pediatric Anatomy,true_false,The pediatric airway is more anterior and superior than the adult airway.,TRUE,The pediatric larynx sits higher in the neck and more forward. This affects airway positioning. The sniffing position works well for infants and children while hyperextension can actually kink the flexible pediatric airway.
EMR-TF-453,Special Populations,Pediatric Anatomy,true_false,Infants are obligate nose breathers for the first several months of life.,TRUE,Newborns and young infants breathe primarily through their nose. Nasal congestion or obstruction can cause significant respiratory distress in infants. Suctioning the nose can dramatically improve breathing.
EMR-TF-454,Special Populations,Pediatric Anatomy,true_false,The narrowest part of the pediatric airway is at the cricoid cartilage rather than the vocal cords.,TRUE,In children under 8 years the narrowest airway point is the cricoid ring below the vocal cords. In adults the narrowest point is at the vocal cords. This affects equipment sizing and is why uncuffed tubes were traditionally used in young children.
EMR-TF-455,Special Populations,Pediatric Anatomy,true_false,Children have more flexible ribs that provide less protection to underlying organs.,TRUE,Pediatric ribs are more cartilaginous and flexible. They bend rather than break absorbing energy that is transmitted to underlying organs. A child can have significant internal injury without rib fractures. Rib fractures in children indicate severe force.
EMR-TF-456,Special Populations,Pediatric Assessment,true_false,The Pediatric Assessment Triangle evaluates appearance work of breathing and circulation to skin.,TRUE,The PAT is a rapid across-the-room assessment. Appearance includes tone interactivity consolability look and speech or cry. Work of breathing assesses sounds positioning and retractions. Circulation evaluates skin color. Abnormality indicates a sick child.
EMR-TF-457,Special Populations,Pediatric Assessment,true_false,Normal heart rate for an infant is 100-160 beats per minute which is higher than adult normal.,TRUE,Pediatric vital signs differ significantly from adults. Infants have higher heart rates 100-160 and respiratory rates 30-60 with lower blood pressures. Using adult normal values for children will result in missed abnormalities.
EMR-TF-458,Special Populations,Pediatric Assessment,true_false,A blood pressure cuff that is too small will give a falsely low reading.,FALSE,A cuff that is too small gives falsely HIGH readings. A cuff too large gives falsely low readings. Proper cuff size width should cover two-thirds of the upper arm is essential for accurate pediatric blood pressure measurement.
EMR-TF-459,Special Populations,Pediatric Assessment,true_false,Capillary refill time is a useful assessment of perfusion in children.,TRUE,Capillary refill is assessed by pressing on the nail bed or forehead and measuring time for color to return. Normal is less than 2 seconds. Delayed refill suggests poor perfusion. It is more reliable in children than adults and is part of circulation assessment.
EMR-TF-460,Special Populations,Pediatric Assessment,true_false,Fontanelles in infants can provide information about hydration and intracranial pressure.,TRUE,The anterior fontanelle normally feels flat and soft. A sunken fontanelle suggests dehydration. A bulging fontanelle can indicate increased intracranial pressure from infection or bleeding. This is a valuable assessment finding in infants.
EMR-TF-461,Special Populations,Pediatric Emergencies,true_false,Children compensate well for illness or injury and can appear stable until sudden decompensation.,TRUE,Pediatric patients have excellent compensatory mechanisms maintaining vital signs despite significant pathology. When compensation fails they crash rapidly and without warning. Do not be reassured by normal vital signs in a sick or injured child.
EMR-TF-462,Special Populations,Pediatric Emergencies,true_false,Most pediatric cardiac arrests result from respiratory failure rather than primary cardiac problems.,TRUE,Unlike adults whose arrests are usually cardiac in origin children typically arrest from respiratory causes. Hypoxia from respiratory failure leads to bradycardia then cardiac arrest. This is why airway and breathing are especially critical in pediatric resuscitation.
EMR-TF-463,Special Populations,Pediatric Emergencies,true_false,Bradycardia in a child is often a sign of hypoxia and impending cardiac arrest.,TRUE,Tachycardia is usually the first response to stress in children. Bradycardia indicates severe hypoxia or other critical illness and suggests decompensation. A bradycardic child is in imminent danger of cardiac arrest. Treat the underlying cause immediately.
EMR-TF-464,Special Populations,Pediatric Emergencies,true_false,Fever in infants under 3 months old is always a medical emergency requiring evaluation.,TRUE,Young infants have immature immune systems and can have serious bacterial infections with minimal symptoms. Fever in infants under 3 months requires urgent evaluation to rule out sepsis meningitis and UTI. Do not attribute fever to minor illness.
EMR-TF-465,Special Populations,Pediatric Emergencies,true_false,Croup typically causes a barking cough and inspiratory stridor in young children.,TRUE,Croup is viral laryngotracheobronchitis causing subglottic swelling. It produces a distinctive barking or seal-like cough with inspiratory stridor. It typically affects children 6 months to 3 years and is usually worse at night.
EMR-TF-466,Special Populations,Pediatric Emergencies,true_false,Epiglottitis is now rare due to vaccination but when present is a life-threatening emergency.,TRUE,Haemophilus influenzae type B vaccine dramatically reduced epiglottitis incidence. When it occurs it causes rapid airway obstruction. Signs include high fever drooling tripod posture and stridor. Do not examine the throat as this can trigger complete obstruction.
EMR-TF-467,Special Populations,Pediatric Emergencies,true_false,Children who are seizing should have objects placed in their mouth to prevent tongue biting.,FALSE,Never place objects in the mouth of a seizing patient of any age. This can cause injury to teeth or soft tissue and objects can be aspirated. Protect the child from injury by clearing the area but do not restrain or insert anything in the mouth.
EMR-TF-468,Special Populations,Pediatric Emergencies,true_false,Febrile seizures in young children are usually brief and self-limited.,TRUE,Febrile seizures typically occur in children 6 months to 5 years with rapid temperature rise. They are usually generalized lasting less than 15 minutes and are followed by a brief postictal period. While frightening they are usually benign.
EMR-TF-469,Special Populations,Pediatric Emergencies,true_false,Signs of shock may be more subtle in children than in adults.,TRUE,Children maintain blood pressure through intense vasoconstriction masking shock until late. Subtle signs include tachycardia mottled or pale skin delayed capillary refill weak peripheral pulses and altered mental status. Hypotension is a late and ominous sign.
