emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-351,Medical,Cardiac Emergencies,true_false,Angina pectoris is chest pain caused by temporary reduced blood flow to the heart muscle.,TRUE,Angina is chest discomfort caused by myocardial ischemia without infarction. It is typically triggered by exertion or stress and relieved by rest or nitroglycerin. Stable angina follows a predictable pattern while unstable angina occurs unpredictably.
EMR-TF-352,Medical,Cardiac Emergencies,true_false,Heart attack myocardial infarction occurs when heart muscle dies due to prolonged lack of blood flow.,TRUE,MI occurs when coronary artery blockage usually from clot deprives heart muscle of blood long enough to cause cell death. Unlike angina where ischemia is temporary MI causes permanent heart damage. Time to treatment determines damage extent.
EMR-TF-353,Medical,Cardiac Emergencies,true_false,Classic heart attack symptoms include chest pressure or discomfort radiating to arm jaw or back.,TRUE,Typical MI presents with substernal chest pressure squeezing or heaviness often radiating to left arm neck jaw or back. Associated symptoms include shortness of breath diaphoresis nausea and anxiety. Symptoms last more than a few minutes.
EMR-TF-354,Medical,Cardiac Emergencies,true_false,Women elderly and diabetic patients often have atypical heart attack symptoms.,TRUE,Atypical presentations without classic chest pain are common in women elderly and diabetics. They may experience fatigue weakness shortness of breath nausea back pain or general malaise. High suspicion is needed to avoid missing these MIs.
EMR-TF-355,Medical,Cardiac Emergencies,true_false,Aspirin given during a suspected heart attack helps by preventing further clot formation.,TRUE,Aspirin inhibits platelet aggregation reducing additional clot growth in the coronary artery. Given early it can limit infarct size. Dose is 160-325mg chewed for rapid absorption. Check for aspirin allergy and active bleeding first.
EMR-TF-356,Medical,Cardiac Emergencies,true_false,Nitroglycerin relieves cardiac chest pain by dilating blood vessels.,TRUE,Nitroglycerin is a vasodilator that relaxes blood vessel walls. It reduces cardiac workload and oxygen demand and may improve blood flow through partially blocked coronary arteries. EMRs may assist patients with their prescribed nitroglycerin.
EMR-TF-357,Medical,Cardiac Emergencies,true_false,Nitroglycerin should not be given if the patient's systolic blood pressure is below 100 mmHg.,TRUE,Nitroglycerin causes vasodilation which can significantly drop blood pressure. In patients who are already hypotensive this can cause dangerous cardiovascular collapse. Always check blood pressure before each nitroglycerin dose.
EMR-TF-358,Medical,Cardiac Emergencies,true_false,Congestive heart failure causes fluid to back up into the lungs causing shortness of breath.,TRUE,When the heart fails as a pump blood backs up into the pulmonary circulation causing fluid to leak into the lungs pulmonary edema. This causes dyspnea especially when lying down orthopnea and crackles on lung examination.
EMR-TF-359,Medical,Cardiac Emergencies,true_false,Patients with CHF often need to sleep propped up on multiple pillows due to difficulty breathing when flat.,TRUE,Orthopnea difficulty breathing when supine is characteristic of CHF. Lying flat increases venous return overwhelming the failing heart. The number of pillows needed to sleep is often documented as a measure of CHF severity.
EMR-TF-360,Medical,Cardiac Emergencies,true_false,Pedal edema swelling of the ankles and feet can be a sign of heart failure.,TRUE,Right-sided heart failure causes blood to back up in the systemic veins leading to fluid accumulation in dependent areas. Pedal edema pitting swelling of ankles and feet is common especially after standing or sitting for prolonged periods.
EMR-TF-361,Medical,Altered Mental Status,true_false,AEIOU-TIPS is a mnemonic for causes of altered mental status.,TRUE,AEIOU-TIPS helps remember causes of altered mental status. A-alcohol and acidosis E-epilepsy and electrolytes I-insulin diabetic emergency O-overdose and oxygen U-uremia T-trauma I-infection P-psychiatric and poisoning S-stroke and shock.
EMR-TF-362,Medical,Altered Mental Status,true_false,Altered mental status always indicates a psychiatric emergency.,FALSE,Altered mental status has many medical causes that must be ruled out including hypoglycemia hypoxia head injury stroke infections toxins and metabolic disorders. Never assume a psychiatric cause without considering medical conditions.
EMR-TF-363,Medical,Altered Mental Status,true_false,Blood glucose should be checked in all patients with altered mental status.,TRUE,Hypoglycemia is a common reversible cause of altered mental status. Checking blood glucose is quick easy and can identify a rapidly treatable condition. All altered mental status patients should have glucose checked if possible.
EMR-TF-364,Medical,Altered Mental Status,true_false,Sudden onset altered mental status is more concerning than gradual onset.,TRUE,Sudden onset suggests acute emergencies like stroke hypoglycemia cardiac arrhythmia or seizure that may be time-critical. Gradual onset over days might suggest infection metabolic derangement or medication effects. Both need evaluation but sudden onset is more urgent.
EMR-TF-365,Medical,Syncope,true_false,Syncope fainting is a brief loss of consciousness caused by temporarily reduced blood flow to the brain.,TRUE,Syncope results from transient cerebral hypoperfusion. Causes include vasovagal response cardiac arrhythmias orthostatic hypotension and others. Recovery is typically rapid and complete. Underlying causes range from benign to life-threatening.
EMR-TF-366,Medical,Syncope,true_false,Syncope that occurs during exertion is more concerning than syncope that occurs while standing.,TRUE,Exertional syncope suggests a cardiac cause such as arrhythmia or structural heart disease. This is more concerning than vasovagal syncope triggered by standing prolonged standing or emotional stress. Exertional syncope needs urgent cardiac evaluation.
EMR-TF-367,Medical,Syncope,true_false,Patients who faint should be transported for evaluation to determine the underlying cause.,TRUE,While many syncope episodes are benign some indicate serious cardiac or neurological conditions. Without testing in the field it is impossible to distinguish dangerous causes from benign ones. Transport for evaluation is recommended.
EMR-TF-368,Medical,Headache,true_false,Sudden severe headache described as the worst headache of my life may indicate a brain aneurysm rupture.,TRUE,Thunderclap headache with sudden onset and maximum intensity within seconds can indicate subarachnoid hemorrhage from ruptured aneurysm. This is a life-threatening emergency. Associated symptoms may include neck stiffness vomiting and altered consciousness.
EMR-TF-369,Medical,Headache,true_false,Headaches are rarely serious and patients do not need to be transported.,FALSE,While most headaches are benign some indicate life-threatening conditions including hemorrhage meningitis brain tumor and carbon monoxide poisoning. New severe or unusual headaches especially with neurological symptoms warrant medical evaluation.
EMR-TF-370,Medical,Fever,true_false,Fever in adults is generally considered a temperature above 100.4°F or 38°C.,TRUE,Normal body temperature is approximately 98.6°F or 37°C with normal variation. Fever is typically defined as temperature above 100.4°F or 38°C indicating the body is fighting infection or responding to inflammation.
EMR-TF-371,Medical,Fever,true_false,High fever in young children can cause febrile seizures.,TRUE,Febrile seizures can occur in children typically 6 months to 5 years when fever rises rapidly. They are usually brief and self-limiting but frightening for parents. Children having febrile seizures should be transported for evaluation.
EMR-TF-372,Medical,Fever,true_false,Fever combined with altered mental status and stiff neck suggests meningitis.,TRUE,The triad of fever headache and neck stiffness suggests meningitis which is inflammation of the brain and spinal cord coverings usually from infection. This is a medical emergency requiring immediate antibiotics and may be contagious.
EMR-TF-373,Medical,Infectious Disease,true_false,Standard precautions assume all blood and body fluids are potentially infectious.,TRUE,Standard precautions treat all blood and body fluids as potentially infectious regardless of the patient's known infection status. This protects providers from known and unknown pathogens. Gloves are minimum PPE for all patient contact.
EMR-TF-374,Medical,Infectious Disease,true_false,Airborne precautions including N95 respirator are needed for tuberculosis.,TRUE,Tuberculosis spreads through airborne droplet nuclei that can remain suspended in air and travel distances. N95 respirators filter these particles. Surgical masks do not provide adequate protection against true airborne pathogens.
EMR-TF-375,Medical,Infectious Disease,true_false,Hand hygiene is the single most important measure to prevent infection transmission.,TRUE,Proper hand washing or use of alcohol-based hand sanitizer before and after patient contact is the most effective way to prevent spreading infections between patients and to protect yourself. It should be done consistently.
EMR-TF-376,Medical,Substance Abuse,true_false,Opioid overdose causes respiratory depression pinpoint pupils and decreased level of consciousness.,TRUE,Opioids depress the central nervous system causing slow shallow breathing pinpoint pupils and drowsiness progressing to unresponsiveness. Respiratory arrest is the cause of death in overdose. Naloxone can reverse these effects.
EMR-TF-377,Medical,Substance Abuse,true_false,Naloxone can reverse the effects of opioid overdose.,TRUE,Naloxone Narcan is an opioid antagonist that rapidly reverses respiratory depression and CNS depression from opioids. It can be given IV IM or intranasally. Effects last 30-90 minutes so monitoring for recurrence is essential.
EMR-TF-378,Medical,Substance Abuse,true_false,Patients who receive naloxone may become agitated or combative as they wake up.,TRUE,Naloxone rapidly reverses opioid effects including euphoria. Patients may wake suddenly in withdrawal which can cause agitation combativeness nausea and vomiting. Be prepared for this response and maintain scene safety.
EMR-TF-379,Medical,Substance Abuse,true_false,Alcohol intoxication can mask symptoms of serious injuries or medical conditions.,TRUE,Alcohol affects pain perception and mental status making it difficult to assess for injuries or medical conditions. Intoxicated patients may not complain of pain from fractures or report symptoms of serious illness. Maintain high suspicion.
EMR-TF-380,Medical,Substance Abuse,true_false,Alcohol withdrawal can cause seizures and be life-threatening.,TRUE,Severe alcohol withdrawal can cause delirium tremens characterized by confusion tremors hallucinations and seizures. This typically occurs 2-4 days after stopping heavy drinking and can be fatal. Withdrawal seizures require medical management.
EMR-TF-381,Medical,Substance Abuse,true_false,Stimulant overdose from cocaine or methamphetamine can cause hyperthermia and cardiac arrhythmias.,TRUE,Stimulants cause sympathetic activation leading to tachycardia hypertension hyperthermia and agitation. Cardiac arrhythmias stroke and seizures can occur. Hyperthermia is particularly dangerous and requires cooling.
EMR-TF-382,Medical,Environmental Medical,true_false,Heat exhaustion is characterized by heavy sweating weakness and normal to slightly elevated temperature.,TRUE,Heat exhaustion results from fluid and electrolyte losses through sweating. Patients sweat heavily have weakness fatigue headache and nausea with body temperature usually below 104°F. Move to cool environment and provide fluids.
EMR-TF-383,Medical,Environmental Medical,true_false,Heat stroke is a life-threatening emergency characterized by hot dry skin and altered mental status.,TRUE,Heat stroke occurs when thermoregulation fails and body temperature rises uncontrollably above 104°F. Classic heat stroke shows hot dry skin no sweating while exertional heat stroke may still have sweating. Altered mental status is key. Requires rapid cooling.
EMR-TF-384,Medical,Environmental Medical,true_false,Hypothermia occurs when core body temperature drops below 95°F or 35°C.,TRUE,Hypothermia is defined as core temperature below 95°F. Mild hypothermia 90-95°F causes shivering and confusion. Moderate to severe hypothermia below 90°F causes muscle rigidity loss of shivering and cardiac irritability.
EMR-TF-385,Medical,Environmental Medical,true_false,Shivering stops in severe hypothermia because the body can no longer generate heat.,TRUE,Shivering is the body's attempt to generate heat through muscle activity. In severe hypothermia below approximately 86°F metabolic processes slow so much that shivering stops. Absence of shivering in a cold patient indicates severe hypothermia.
EMR-TF-386,Medical,Environmental Medical,true_false,Rewarming a hypothermic patient too quickly can cause dangerous cardiac arrhythmias.,TRUE,Rapid rewarming causes peripheral vasodilation which can drop blood pressure and flood the heart with cold acidotic blood triggering arrhythmias. Handle hypothermic patients gently and rewarm gradually. Avoid rough handling.
EMR-TF-387,Medical,Drowning,true_false,Drowning can occur in small amounts of water including bathtubs and buckets.,TRUE,Drowning can occur whenever the airway is submerged in liquid. Small children can drown in only a few inches of water in bathtubs buckets or toilets. Never leave young children unattended around any water source.
EMR-TF-388,Medical,Drowning,true_false,Drowning victims may have swallowed water and are at risk for vomiting during resuscitation.,TRUE,Drowning victims often swallow water which can cause vomiting and aspiration during resuscitation. Be prepared to suction and turn the patient to clear the airway. Aspiration of water and stomach contents is a major complication.
EMR-TF-389,Medical,Drowning,true_false,Cold water drowning victims may survive prolonged submersion due to the protective effect of hypothermia.,TRUE,Cold water causes rapid hypothermia which slows metabolism and protects the brain and organs. Survival has been reported after prolonged submersion in cold water especially in children. Resuscitation should continue until rewarmed.
EMR-TF-390,Medical,Bites and Stings,true_false,Most snake bites in the United States are from pit vipers such as rattlesnakes copperheads and cottonmouths.,TRUE,Pit vipers cause most venomous snake bites in the US. They have triangular heads heat-sensing pits and retractable fangs. Coral snakes are also venomous but bites are rare. Not all pit viper bites envenomate.
EMR-TF-391,Medical,Bites and Stings,true_false,Tourniquets and ice should be applied to snake bite wounds to slow venom spread.,FALSE,Tourniquets can cause ischemia and are not recommended for snake bites. Ice can cause tissue damage. Keep the patient calm immobilize the bitten extremity at or below heart level remove jewelry and transport for antivenom evaluation.
