emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-146,Trauma,Bleeding Control,scenario,A construction worker has a deep laceration on his forearm with bright red blood spurting from the wound. He is pale and anxious. What type of bleeding is this and what is your immediate action?,Venous bleeding. Apply a loose bandage and elevate,Arterial bleeding. Apply direct pressure immediately with a gloved hand and sterile dressing. If bleeding continues despite firm pressure apply a tourniquet 2-3 inches above the wound,Capillary bleeding. Clean and bandage,Arterial bleeding. Wait for paramedics,B,Bright red spurting blood indicates arterial hemorrhage which can cause death in minutes. Immediate direct pressure is first-line treatment. If direct pressure fails to control bleeding apply a tourniquet proximal to the wound.
EMR-SCEN-147,Trauma,Bleeding Control,scenario,You are applying direct pressure to a heavily bleeding arm wound but blood continues to soak through the dressings. What should you do?,Remove the soaked dressings and start over,Do not remove the original dressings. Add more dressings on top and continue direct pressure. If bleeding still cannot be controlled apply a tourniquet,Switch to a different wound location,Release pressure briefly to let blood escape,B,Never remove blood-soaked dressings as this disrupts clot formation. Add additional dressings on top and maintain pressure. If direct pressure fails a tourniquet is indicated for extremity hemorrhage.
EMR-SCEN-148,Trauma,Bleeding Control,scenario,A patient has severe bleeding from a wound in the groin crease. You cannot apply a tourniquet at this location. What should you do?,Apply a tourniquet around the waist,Pack the wound with gauze pressing firmly into the wound cavity and maintain direct pressure. Junctional wounds that cannot be tourniqueted require wound packing,There is nothing you can do for this location,Apply ice to slow the bleeding,B,Junctional wounds in groin armpit and neck cannot be tourniqueted. Wound packing involves firmly pressing gauze deep into the wound to apply pressure from within. Maintain direct pressure on top of the packing.
EMR-SCEN-149,Trauma,Bleeding Control,scenario,You apply a tourniquet to a patient's upper arm for uncontrolled bleeding. Blood is still oozing from the wound. What should you do?,The tourniquet is working since bleeding slowed,Tighten the tourniquet further until bleeding stops completely. If one tourniquet is insufficient apply a second tourniquet above the first,Remove the tourniquet and try direct pressure,Leave it and transport,B,A tourniquet must completely stop arterial flow. If bleeding continues tighten further or apply a second tourniquet proximal to the first. Do not accept continued bleeding with a tourniquet in place.
EMR-SCEN-150,Trauma,Bleeding Control,scenario,A patient has a nosebleed that started after being struck in the face. He is swallowing blood and becoming nauseous. How should you manage this?,Have him tilt his head back to stop the flow,Have him sit leaning slightly forward and pinch the soft part of his nose for 10-15 minutes. Leaning forward prevents blood from going down the throat causing nausea,Pack the nose with gauze,Have him blow his nose to clear clots,B,For nosebleeds have patient sit upright leaning slightly forward to prevent blood from flowing into the throat. Pinch the soft part of the nose continuously for 10-15 minutes. Do not tilt head back as swallowed blood causes nausea and vomiting.
EMR-SCEN-151,Trauma,Shock,scenario,A motorcycle crash patient has pale cool clammy skin rapid weak pulse of 124 and BP of 88/62. He is confused and restless. He has obvious leg deformity but no external bleeding. What is happening?,He is just in pain from the injury,He is in hypovolemic shock likely from internal bleeding. The femur fracture can cause 1-2 liters of blood loss into the thigh. Control external bleeding maintain body temperature and transport rapidly,He is having a panic attack,His vital signs are normal for trauma,B,Pale cool clammy skin tachycardia hypotension and altered mental status are shock signs. Femur fractures cause significant internal hemorrhage. This patient is in decompensated shock requiring rapid transport to surgical care.
EMR-SCEN-152,Trauma,Shock,scenario,A trauma patient has signs of shock but you find no obvious external bleeding. Where might the blood be going?,If there is no external bleeding he cannot be in shock,Blood can be lost internally into the chest abdomen pelvis or thighs without external evidence. Internal hemorrhage can be just as deadly as external bleeding,He must have a hidden wound somewhere,Shock cannot occur without visible bleeding,B,Significant hemorrhage can occur internally with no external bleeding. The chest can hold 2-3 liters the abdomen 4+ liters each thigh 1-2 liters and the pelvis 2+ liters. Suspect internal bleeding based on mechanism and shock signs.
EMR-SCEN-153,Trauma,Shock,scenario,A bleeding patient is showing signs of shock. You have controlled the external bleeding. What else should you do for shock management?,Just transport quickly,Keep patient warm and prevent heat loss. Position appropriately lying flat or with legs elevated if no contraindications. Provide oxygen and keep the patient calm. Do not give food or water. Transport rapidly,Give them water to replace lost fluids,Have them sit up to help breathing,B,Shock treatment includes stopping bleeding maintaining body temperature providing oxygen positioning appropriately providing reassurance and rapid transport. Prevent heat loss with blankets. Do not give oral fluids as surgery may be needed.
EMR-SCEN-154,Trauma,Shock,scenario,A 7-year-old was struck by a car. She is alert with normal blood pressure but has tachycardia pale skin and abdominal tenderness. Her mother says she seems fine since her BP is normal. What should you tell her?,Her normal blood pressure is reassuring,Children compensate for blood loss very well and can maintain normal BP until they have lost 30-40% of blood volume. The tachycardia and pallor indicate she may be bleeding internally despite normal BP. She needs rapid transport,If she is talking she is fine,Children cannot have internal bleeding,B,Children have excellent compensatory mechanisms maintaining BP despite significant blood loss. When they decompensate they crash rapidly. Do not be reassured by normal BP in an injured child with other shock signs. Maintain high suspicion and transport promptly.
EMR-SCEN-155,Trauma,Head Injury,scenario,A patient fell off a ladder hitting his head. He was briefly unconscious but is now awake and talking. He has a headache and cannot remember the fall. Should you be concerned?,No since he is awake and talking now,Yes. Any loss of consciousness after head trauma indicates brain injury. Amnesia for the event is also concerning. Monitor closely for deterioration and transport for evaluation even though he appears stable now,Only if he loses consciousness again,Headache is normal and not concerning,B,Brief loss of consciousness and amnesia indicate the brain was affected significantly. These patients need medical evaluation as delayed deterioration can occur. Monitor closely for worsening mental status vomiting or unequal pupils during transport.
EMR-SCEN-156,Trauma,Head Injury,scenario,A head injury patient initially had a GCS of 14. Twenty minutes later his GCS has dropped to 10. He is now more confused and difficult to arouse. What does this indicate?,This is normal fluctuation,This is a deteriorating head injury. A dropping GCS indicates worsening brain function possibly from increasing intracranial pressure or expanding hematoma. This is a time-critical emergency requiring immediate transport to a trauma center,He is just getting sleepy,Wait to see if he improves,B,Declining mental status after head trauma is a critical warning sign. It indicates worsening brain injury from bleeding or swelling. This patient needs immediate transport to a facility capable of neurosurgical intervention. Deterioration can progress rapidly.
EMR-SCEN-157,Trauma,Head Injury,scenario,A trauma patient has clear fluid draining from his nose and blood behind his eardrum. What do these findings suggest?,He has a cold and ear infection,These are signs of basilar skull fracture. Clear fluid may be cerebrospinal fluid. Do not pack the nose or try to stop CSF drainage. Maintain spinal precautions and transport to trauma center,He needs his nose wiped,These findings are not significant,B,CSF rhinorrhea clear fluid from nose and hemotympanum blood behind eardrum indicate basilar skull fracture. Do not attempt to stop CSF drainage as this can increase infection risk. Handle with spinal precautions and transport emergently.
EMR-SCEN-158,Trauma,Spinal Injury,scenario,A diver struck his head on the bottom of a pool. He is floating face up complaining he cannot move his arms or legs. He is breathing with difficulty using only his diaphragm. What should you do?,Pull him out of the water quickly by his arms,Suspect cervical spine injury with cord damage. Float a backboard under him while maintaining manual inline stabilization. Support breathing as needed. Carefully remove from water with spinal precautions,Tell him to try moving again,He is just stunned and will recover,B,Mechanism and symptoms strongly suggest cervical spinal cord injury. Inability to move extremities and diaphragmatic breathing indicate high cervical injury. Maintain strict spinal immobilization during water rescue. High cervical injuries can compromise breathing.
EMR-SCEN-159,Trauma,Spinal Injury,scenario,A football player is down on the field after a tackle. He has neck pain and tingling in both arms. He is still wearing his helmet and shoulder pads. Should you remove them?,Yes remove helmet and pads for full access,No. Leave helmet and shoulder pads in place as they help maintain spinal alignment. Remove only the face mask if airway access is needed. Removing equipment can cause movement of an unstable spine,Remove only the helmet,Remove only the shoulder pads,B,Sports equipment should be left in place when possible as helmet and pads together maintain alignment. Removing one without the other causes flexion or extension. Remove only face mask for airway access using appropriate tools.
EMR-SCEN-160,Trauma,Chest Injury,scenario,A stab wound victim has a wound to the right chest that makes a sucking sound with each breath. He is in severe respiratory distress. What should you do?,Pack the wound with gauze,Cover the wound with an occlusive dressing sealed on three sides to create a flutter valve that allows air out but not in. Or use a commercial vented chest seal. Provide oxygen and transport immediately,Leave the wound open for drainage,Apply a regular gauze bandage,B,A sucking chest wound is an open pneumothorax requiring immediate occlusive dressing. Seal on three sides or use a vented chest seal to prevent air entry during inspiration while allowing air to escape during expiration. This is immediately life-threatening.
