emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-126,CPR/Cardiac,Cardiac Arrest,scenario,You are performing CPR with AED on an adult. After several shocks and multiple cycles of CPR paramedics arrive. What information should you give them in your handoff report?,Just tell them the patient is in cardiac arrest,Report the time arrest was discovered or witnessed initial rhythm if AED displayed it number of shocks delivered CPR quality and duration and any known history or medications. Include what interventions you performed and patient response,They will figure it out themselves,Only tell them the patient's name,B,Effective handoff includes approximate down time whether arrest was witnessed initial rhythm shocks delivered CPR duration and quality medications given any ROSC achieved known medical history and witnessed events. This information guides continued resuscitation decisions.
EMR-SCEN-127,CPR/Cardiac,Cardiac Arrest,scenario,Bystanders report that a man collapsed while jogging 15 minutes ago. No CPR was performed. He has no pulse and is not breathing. His skin is mottled and cool. Should you begin CPR?,No it has been too long without CPR,Yes begin CPR immediately. While delayed CPR reduces survival outcomes are still possible. Do not withhold resuscitation based on down time alone unless obvious signs of death like rigor mortis are present,Only if family requests it,Wait to see if he starts breathing,B,While survival decreases significantly after 10 minutes without CPR resuscitation should still be attempted unless obvious signs of death are present. Outcomes are better with witnessed arrest but unwitnessed arrests can still survive. Begin CPR and apply AED.
EMR-SCEN-128,CPR/Cardiac,Cardiac Arrest,scenario,A family member is hysterical and interfering with your attempts to perform CPR asking why you keep pushing on their loved one. How should you handle this?,Stop CPR to calm the family member,Have a partner or bystander calmly explain what you are doing and guide the family member to a nearby location where they can observe but not interfere. Do not stop life-saving CPR to manage family,Tell them to leave the room,Ignore them and continue without explanation,B,Family presence during resuscitation is supported by evidence but should not interfere with care. Assign someone to support the family explain what is happening and guide them to a position where they can observe without disrupting efforts. Continue resuscitation without interruption.
EMR-SCEN-129,CPR/Cardiac,AED Use,scenario,You are using an AED on a child approximately 5 years old. Your AED has both adult and pediatric pads available. Which should you use?,Always use adult pads on everyone,Use pediatric pads for children under 8 years old. Pediatric pads deliver a reduced energy dose appropriate for children. If only adult pads are available use them as defibrillation with adult pads is better than no defibrillation,Children should not be defibrillated,Use adult pads with only one pad attached,B,For children 1-8 years old use pediatric pads or dose attenuator if available as they deliver age-appropriate energy. If only adult pads are available use them since a shock at adult energy is better than no shock. Ensure pads do not touch or overlap.
EMR-SCEN-130,CPR/Cardiac,AED Use,scenario,You are applying AED pads to a small child and the pads are too large and would overlap if placed in normal position. What should you do?,Overlap the pads it does not matter,Use anterior-posterior placement with one pad on the center of the chest and one on the back between the shoulder blades. This prevents overlapping and still allows current to pass through the heart,Cut the pads to make them smaller,Do not use the AED on this child,B,When AED pads would overlap in standard placement use anterior-posterior or front-back placement. Place one pad on the front of the chest and one on the back. This positions still allows the shock to travel through the heart effectively.
EMR-SCEN-131,CPR/Cardiac,Cardiac Emergencies,scenario,A 70-year-old woman suddenly develops a very irregular and rapid pulse with dizziness and shortness of breath. She denies chest pain. HR is approximately 150 and irregular. BP is 102/70. What is likely occurring?,Heart attack,Possible atrial fibrillation with rapid ventricular response or other cardiac arrhythmia. The irregular rapid pulse with symptoms indicates a cardiac emergency. Provide oxygen position of comfort and transport. Monitor for deterioration,Panic attack,Normal response to standing up,B,Sudden onset of irregular rapid heart rate with symptoms of dizziness and dyspnea suggests an arrhythmia such as atrial fibrillation with rapid rate. This is a cardiac emergency even without chest pain. Provide supportive care and transport for evaluation and treatment.
EMR-SCEN-132,CPR/Cardiac,Cardiac Emergencies,scenario,A patient with known heart failure is experiencing severe shortness of breath worse when lying down. He has to sit upright to breathe. You hear crackles in both lungs. His legs are swollen. What is the likely problem?,Asthma attack,Acute decompensated heart failure with pulmonary edema. Fluid is backing up into the lungs causing crackles and dyspnea. The inability to lie flat orthopnea and leg swelling edema are classic heart failure signs. Keep upright give oxygen transport,Pneumonia,Allergic reaction,B,Orthopnea bilateral crackles peripheral edema and history of heart failure indicate acute decompensation with pulmonary edema. Position sitting upright reduces preload and helps breathing. Provide high-flow oxygen and transport. Do not lay patient flat.
EMR-SCEN-133,CPR/Cardiac,Cardiac Emergencies,scenario,A 45-year-old man has severe tearing chest pain that radiates to his back. It started suddenly and he describes it as the worst pain of his life. BP in right arm is 180/100 and left arm is 156/90. What should you suspect?,Typical heart attack,Possible aortic dissection. Sudden severe tearing pain radiating to back with significant blood pressure difference between arms suggests aortic dissection. This is life-threatening. Keep patient calm do NOT give nitroglycerin or aspirin and transport immediately,Muscle strain,Kidney stones,B,Sudden severe tearing chest or back pain with blood pressure differences between arms is classic for aortic dissection. The aortic wall is tearing apart. Do NOT give blood thinners aspirin or nitroglycerin which could worsen bleeding. Keep calm and transport emergently to surgical center.
EMR-SCEN-134,CPR/Cardiac,Cardiac Emergencies,scenario,An elderly patient takes heart medication and complains of feeling weak with a pulse rate of 42 beats per minute. He is slightly confused and his BP is 88/60. What is happening and what should you do?,His slow pulse is normal for an elderly person,Symptomatic bradycardia causing poor cardiac output. The slow heart rate is not pumping enough blood causing hypotension confusion and weakness. Provide oxygen monitor closely position appropriately and transport,Tell him to exercise more to raise his heart rate,Wait to see if his pulse increases,B,Heart rate of 42 with hypotension and altered mental status is symptomatic bradycardia. The heart is beating too slowly to maintain adequate cardiac output. This patient needs cardiac monitoring and likely medication or pacing at the hospital. Transport promptly.
EMR-SCEN-135,CPR/Cardiac,Cardiac Emergencies,scenario,A patient complains of palpitations and feeling like her heart is racing. She is anxious but has no chest pain or shortness of breath. HR is 160 and regular. BP is 128/82. She is alert and oriented. What should you do?,Tell her to take deep breaths and ignore it,This is stable tachycardia. Provide reassurance keep her calm and transport for evaluation. While stable she could deteriorate. Do not attempt interventions to slow the heart. Monitor vital signs and cardiac rhythm if capable,Have her cough forcefully to reset her heart,Give her nitroglycerin to slow her heart,B,Regular rapid heart rate with minimal symptoms is stable tachycardia. Patient needs evaluation but is not in immediate danger. Keep calm provide reassurance monitor for deterioration and transport. Do not attempt vagal maneuvers without training or give medications to alter rate without protocol.
