emr_id,category,subcategory,question_type,term,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-001,Anatomy,Cardiovascular,vocabulary,Myocardium,What is the medical term for the thick muscular middle layer of the heart wall that contracts to pump blood?,Endocardium,Pericardium,Myocardium,Epicardium,C,The myocardium is the muscular middle layer of the heart wall. It is the thickest layer and is responsible for the pumping action of the heart. The endocardium is the inner lining and the pericardium is the outer protective sac.
EMR-VOCAB-002,Anatomy,Cardiovascular,vocabulary,Aorta,What is the name of the largest artery in the body that carries oxygenated blood from the left ventricle to the systemic circulation?,Vena cava,Pulmonary artery,Aorta,Coronary artery,C,The aorta is the largest artery in the body originating from the left ventricle. It arches over the heart and descends through the thorax and abdomen distributing oxygenated blood to all body systems through its many branches.
EMR-VOCAB-003,Anatomy,Cardiovascular,vocabulary,Ventricle,What term describes the two lower chambers of the heart that pump blood out to the lungs and body?,Atria,Ventricles,Septa,Valves,B,The ventricles are the two lower chambers of the heart. The right ventricle pumps deoxygenated blood to the lungs via the pulmonary artery. The left ventricle pumps oxygenated blood to the body via the aorta. The ventricles have thicker walls than the atria because they must generate more pressure.
EMR-VOCAB-004,Anatomy,Cardiovascular,vocabulary,Atrium,What term describes the two upper chambers of the heart that receive blood returning from the body and lungs?,Atria,Ventricles,Valves,Nodes,A,The atria are the two upper receiving chambers of the heart. The right atrium receives deoxygenated blood from the body via the superior and inferior vena cava. The left atrium receives oxygenated blood from the lungs via the pulmonary veins.
EMR-VOCAB-005,Anatomy,Cardiovascular,vocabulary,Capillary,What is the term for the smallest blood vessels where oxygen and nutrient exchange occurs between blood and tissues?,Arterioles,Venules,Capillaries,Arteries,C,Capillaries are the smallest blood vessels with walls only one cell thick. This thin wall allows for the exchange of oxygen nutrients carbon dioxide and waste products between the blood and surrounding tissues. Capillaries connect arterioles to venules.
EMR-VOCAB-006,Anatomy,Cardiovascular,vocabulary,Artery,What type of blood vessel carries blood away from the heart under high pressure?,Vein,Artery,Capillary,Venule,B,Arteries are blood vessels that carry blood away from the heart. They have thick muscular elastic walls to withstand the high pressure generated by the heart's contractions. Most arteries carry oxygenated blood except the pulmonary arteries which carry deoxygenated blood to the lungs.
EMR-VOCAB-007,Anatomy,Cardiovascular,vocabulary,Vein,What type of blood vessel carries blood toward the heart under low pressure and contains valves to prevent backflow?,Artery,Vein,Arteriole,Capillary,B,Veins are blood vessels that carry blood toward the heart. They have thinner walls than arteries and contain one-way valves to prevent backflow since blood flows under lower pressure. Most veins carry deoxygenated blood except the pulmonary veins which carry oxygenated blood from the lungs.
EMR-VOCAB-008,Anatomy,Cardiovascular,vocabulary,Pulse,What term describes the wave of pressure created when the left ventricle contracts and pushes blood into the arteries?,Pulse,Blood pressure,Cardiac output,Stroke volume,A,The pulse is the pressure wave that travels through the arteries with each heartbeat. It can be felt at various points where arteries pass close to the skin surface over bone such as the radial carotid and brachial pulse points. Pulse rate normally equals heart rate.
EMR-VOCAB-009,Anatomy,Cardiovascular,vocabulary,Blood Pressure,What term describes the force exerted by blood against the walls of the arteries measured in millimeters of mercury?,Pulse pressure,Blood pressure,Cardiac output,Perfusion,B,Blood pressure is the force of blood pushing against arterial walls. It is measured in millimeters of mercury mmHg and expressed as two numbers. Systolic pressure is the higher number measured during heart contraction. Diastolic pressure is the lower number measured during heart relaxation.
EMR-VOCAB-010,Anatomy,Respiratory,vocabulary,Trachea,What is the medical term for the windpipe that carries air from the larynx to the bronchi?,Esophagus,Pharynx,Trachea,Bronchus,C,The trachea or windpipe is a tube approximately 4-5 inches long that extends from the larynx to where it divides into the right and left main bronchi. It is reinforced with C-shaped cartilage rings that keep it open during breathing.
