emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-196,Medical,Diabetic Emergency,scenario,A coworker finds a 45-year-old diabetic man confused and sweating at his desk. His skin is pale cool and clammy. He cannot answer questions appropriately but can follow simple commands. Blood glucose reads 42 mg/dL. What should you do?,Call 911 and wait for paramedics before doing anything,Give oral glucose immediately since he is conscious and can follow commands. Blood sugar of 42 with altered mental status is hypoglycemia. Oral glucose can be lifesaving and should not be delayed,Give him insulin to lower his blood sugar,Have him drink a cup of coffee to wake up,B,Blood glucose of 42 with altered mental status confusion pallor and diaphoresis is hypoglycemia. Since he can follow commands and swallow give oral glucose immediately. Hypoglycemia can cause brain damage if untreated. Do not wait for ALS if you can treat now.
EMR-SCEN-197,Medical,Diabetic Emergency,scenario,After giving oral glucose to the hypoglycemic patient you recheck his blood sugar 10 minutes later. It is now 98 mg/dL and he is alert and oriented. He refuses transport saying he feels fine. What should you advise?,He is cured and does not need further care,Advise him that blood sugar can drop again and he should eat a substantial meal with protein and carbohydrates. Encourage transport for evaluation. If he still refuses document refusal thoroughly and advise him to seek medical care,He needs more oral glucose to be safe,Nothing his blood sugar is normal now,B,While his glucose is now normal it can drop again especially if he has not eaten. Advise eating a substantial meal with protein to maintain glucose. Encourage transport for evaluation of why hypoglycemia occurred. If he refuses document thoroughly including risks explained.
EMR-SCEN-198,Medical,Diabetic Emergency,scenario,You find an unconscious diabetic patient. Blood glucose shows HIGH which indicates over 500 mg/dL. She is breathing rapidly and deeply and has a fruity odor on her breath. What condition is this?,Hypoglycemia,Diabetic ketoacidosis DKA. Very high blood sugar fruity breath from ketones and Kussmaul respirations deep rapid breathing attempting to compensate for acidosis indicate DKA. This is a serious emergency requiring IV fluids and insulin at the hospital,She ate too much sugar,Alcohol intoxication,B,Very high blood glucose over 500 with fruity breath from ketones and Kussmaul respirations indicates DKA. This develops over hours to days typically in Type 1 diabetics. She needs IV fluids insulin and electrolyte management at the hospital. This is not treatable in the field.
EMR-SCEN-199,Medical,Diabetic Emergency,scenario,A diabetic patient is found unconscious. You cannot get a blood glucose reading and are unsure if it is high or low blood sugar. She cannot swallow safely. What should you do?,Give oral glucose anyway,Do not give oral glucose to an unconscious patient who cannot protect their airway. Maintain airway position appropriately provide oxygen and transport rapidly. IV glucose or glucagon will be needed,Give her insulin just in case,Wait until she wakes up to give glucose,B,Never give anything by mouth to an unconscious patient as they will aspirate. Without the ability to check glucose or give IV medications your role is supportive. Maintain airway provide oxygen and transport for definitive care. Glucagon or IV glucose will be given.
EMR-SCEN-200,Medical,Stroke,scenario,A 68-year-old man suddenly developed right-sided weakness and is having difficulty speaking. His wife noticed the symptoms started about 45 minutes ago. Using FAST what findings would you expect?,Face normal Arm normal Speech normal,Face drooping on right. Arm drift or weakness when right arm raised. Speech difficulty with slurring or trouble finding words. Time to call 911 and note symptom onset of 45 minutes ago,Only leg weakness is seen in stroke,Symptoms would develop gradually over days,B,FAST findings in stroke include facial droop arm weakness and speech difficulty. Time of onset is critical as clot-dissolving treatment is only effective within a few hours. Document that symptoms began 45 minutes ago for the receiving hospital.
EMR-SCEN-201,Medical,Stroke,scenario,The stroke patient's wife asks if her husband is going to be okay. She wants to know what is happening. How do you explain this while providing care?,Tell her he is definitely having a stroke and may die,Explain you are concerned he may be having a stroke where blood flow to part of the brain is reduced. Time is critical because treatments exist that must be given quickly. You are taking him to a hospital that can provide specialized stroke care,Tell her nothing is wrong to keep her calm,Explain the brain is permanently damaged,B,Provide honest compassionate information. Explain concern for stroke and that time-critical treatments exist. Emphasize the importance of rapid transport to a stroke center. Avoid false reassurance or excessive doom. Family members need information to cope and make decisions.
EMR-SCEN-202,Medical,Stroke,scenario,A patient has sudden onset left-sided weakness. When asked to smile the right side of her face moves normally but the left side droops. When she holds both arms out the left arm drifts downward. Her speech is slurred. BP is 188/96. Should you treat her blood pressure?,Yes immediately lower her blood pressure,No do not treat blood pressure in the field for stroke. Elevated BP during stroke may be the body's attempt to maintain brain perfusion. Lowering it could worsen brain ischemia. Transport rapidly and let hospital specialists manage BP,BP does not matter in stroke,Only if BP is above 200,B,Blood pressure is often elevated during acute stroke as the body tries to maintain cerebral perfusion. Field treatment of hypertension in stroke is generally not recommended as it may worsen ischemia. Rapid transport to a stroke center is the priority.
EMR-SCEN-203,Medical,Stroke,scenario,You respond to a call for a 72-year-old woman who woke up with left-sided weakness. She went to bed at 10 PM and woke at 6 AM with symptoms. What is the significance of this timing?,The stroke occurred at 6 AM when she woke,The stroke could have occurred anytime during the night. The last known normal time is 10 PM when she went to bed. For treatment decisions the relevant time is last known normal which is 8 hours ago limiting treatment options,Timing does not matter,She has been having a stroke for 8 hours,B,When stroke symptoms are discovered after sleep the onset time is unknown. The relevant time for treatment decisions is last known normal which is when she went to bed. This limits time-sensitive treatments but she still needs rapid evaluation.
EMR-SCEN-204,Medical,Seizure,scenario,You witness a coworker suddenly stiffen and fall to the floor. He then begins rhythmic jerking movements of all extremities. His eyes are rolled back and he is unresponsive. What should you do during the seizure?,Hold him down to stop the movements,Protect him from injury by moving objects away but do not restrain him. Do not put anything in his mouth. Note the time the seizure started. Time the duration. Most seizures stop on their own within 1-2 minutes,Put something in his mouth to prevent tongue swallowing,Pour cold water on him to stop the seizure,B,During a seizure protect from injury by clearing the area but do not restrain the patient. Never put anything in the mouth as this can cause injury. Time the seizure duration. Most generalized seizures stop spontaneously within 2 minutes.
EMR-SCEN-205,Medical,Seizure,scenario,The seizure stops after about 90 seconds. The patient is now limp unresponsive and breathing shallowly. What is this phase called and what should you do?,He is dying you need to start CPR,This is the postictal phase. Roll him onto his side recovery position to protect his airway. Suction if needed. Monitor breathing. He will gradually become more responsive over minutes. Stay with him and reassure him as he awakens,The seizure is not really over,He is just sleeping normally,B,The postictal phase follows a seizure characterized by unresponsiveness then confusion and gradual recovery. Position on side to protect airway from secretions or vomiting. Monitor breathing and provide reassurance as the patient slowly awakens often confused and disoriented.
EMR-SCEN-206,Medical,Seizure,scenario,A patient has been seizing continuously for 8 minutes with no signs of stopping. His lips are becoming blue. What is this condition and why is it dangerous?,This is normal for some seizures,This is status epilepticus which is a medical emergency. Seizures lasting over 5 minutes rarely stop on their own and cause hypoxia brain damage and can be fatal. This requires immediate ALS intervention with medications and rapid transport,Long seizures are not dangerous,He will wake up on his own eventually,B,Status epilepticus seizures lasting over 5 minutes is life-threatening. Continuous muscle activity causes hypoxia hyperthermia and brain damage. These seizures require medication to stop. The cyanosis indicates severe hypoxia. This is a true emergency requiring immediate ALS and transport.
EMR-SCEN-207,Medical,Seizure,scenario,A mother calls 911 because her 2-year-old had a seizure. The child had a fever of 103°F this morning. The seizure lasted about 2 minutes and the child is now sleepy but responsive. What likely happened?,The child has epilepsy,This was likely a febrile seizure which occurs in young children when fever rises rapidly. These are usually brief and benign but frightening for parents. The child should be transported for evaluation to rule out serious causes of fever,Fevers never cause seizures,The child needs CPR,B,Febrile seizures occur in children 6 months to 5 years with rapid temperature rise. They are usually brief and self-limited. While generally benign the child needs evaluation to determine fever source and rule out meningitis or other serious infections.
EMR-SCEN-208,Medical,Allergic Reaction,scenario,A restaurant patron begins having difficulty breathing after eating shrimp. She has hives spreading across her chest and her voice sounds hoarse. She says her throat feels like it is closing. She has a known shellfish allergy. What is happening?,Mild allergic reaction that will resolve,Anaphylaxis with airway involvement. Throat swelling with difficulty breathing and hoarse voice indicates angioedema that can completely obstruct the airway. This is immediately life-threatening. She needs epinephrine now,Food poisoning,Panic attack,B,Difficulty breathing hoarse voice throat tightness and hives after allergen exposure is anaphylaxis with airway compromise. Angioedema can progress to complete obstruction rapidly. Epinephrine is immediately needed and is life-saving. This is not a minor reaction.
