emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-026,Assessment,Special Situations,scenario,You respond to a nursing home for an unresponsive patient. Staff provide DNR papers. The patient has no pulse or breathing. Family present asks you to do everything. What should you do?,Ignore the DNR because family wants resuscitation,Review the DNR for validity. If valid honor the patient's documented wishes and provide comfort care. Explain compassionately to family that you must honor the patient's decision,Start CPR because family requested it,Leave the scene immediately,B,Valid DNR orders represent the patient's wishes which take legal precedence over family preferences. Review the document for validity. If valid provide supportive care and compassionately explain to family.
EMR-SCEN-027,Assessment,Special Situations,scenario,You are assessing a 4-year-old girl who fell. She is crying and clinging to her mother. When you approach with your equipment she screams louder. How should you handle this assessment?,Have the mother leave so you can assess the child,Allow the child to stay with mother. Approach slowly at child's level. Let her see and touch equipment. Assess while she sits on mother's lap if possible,Force the child to lie down for assessment,Skip the assessment since she is crying,B,Pediatric assessment requires building trust. Keep child with parent when possible. Get at eye level. Let child see equipment and touch it. Assess in parent's lap. A screaming child is difficult to assess accurately.
EMR-SCEN-028,Assessment,Special Situations,scenario,You respond to a call for an intoxicated male. On scene you find him confused with slurred speech and unsteady gait. He smells strongly of alcohol. He has a bruise on his forehead. Why should you not assume his symptoms are only from alcohol?,If he smells like alcohol that is the only cause,Multiple conditions can mimic intoxication including head injury stroke hypoglycemia and overdose. The forehead bruise suggests possible head trauma. Assess thoroughly and transport for evaluation,Intoxicated patients never have other problems,You can refuse to treat intoxicated patients,B,Many serious conditions mimic intoxication including head injury hypoglycemia stroke and drug overdose. The bruise suggests trauma. Never assume symptoms are from alcohol alone. Full assessment and transport for evaluation is appropriate.
EMR-SCEN-029,Assessment,Special Situations,scenario,You are called to a residence where a 70-year-old female fell. She says she tripped on a rug but her husband seems nervous and she has bruises in various healing stages on her arms. What should you consider?,She is just clumsy and falls often,Consider the possibility of elder abuse. Multiple bruises in various healing stages and nervous family behavior are warning signs. Document findings objectively and report concerns per your protocols,Old people bruise easily,It is not your concern how she got the bruises,B,Multiple bruises in various healing stages with inconsistent history and nervous family members are warning signs for elder abuse. EMRs are mandatory reporters. Document findings objectively and report per protocols.
EMR-SCEN-030,Assessment,Special Situations,scenario,A patient who speaks only Spanish is having chest pain. No interpreter is available. How can you best assess this patient?,Skip the history since you cannot communicate,Use simple words and gestures. Point to areas asking about pain. Use translation apps if available. Assess non-verbal signs and vital signs carefully. Bring family member if they can translate,Refuse to treat until an interpreter arrives,Only take vital signs and transport,B,Language barriers require creative communication. Use gestures pointing and simple words. Translation apps can help. Family members may interpret. Non-verbal assessment and vital signs provide important information. Never refuse care due to language.
EMR-SCEN-031,Assessment,Scene Size-Up,scenario,You respond to a domestic disturbance where a woman was reportedly injured. On arrival you see a man yelling on the porch and broken glass on the ground. Police have not yet arrived. What should you do?,Approach and begin patient care immediately,Stage at a safe distance and wait for law enforcement to secure the scene. Domestic violence scenes are unpredictable and dangerous. Your safety comes first,Enter through the back door to avoid the man,Tell the man to calm down and let you in,B,Domestic violence scenes are dangerous. An agitated person at the scene poses a threat. Stage at a safe distance until law enforcement secures the scene. Patient care cannot occur if you become a victim.
EMR-SCEN-032,Assessment,Scene Size-Up,scenario,You arrive at a farm where a worker was injured by machinery. The patient's arm is caught in a grain auger that is still running. The patient is screaming in pain. What is your first action?,Pull the patient free from the machine,Ensure the machine is turned off and locked out before approaching. Do not attempt rescue until the mechanical hazard is eliminated,Begin assessing the patient while the machine runs,Call for the farmer to help pull him out,B,Active machinery is immediately dangerous. The machine must be shut off and locked out before any rescue attempt. Attempting rescue with machinery running could injure the patient further or injure rescuers.
EMR-SCEN-033,Assessment,Primary Assessment,scenario,You find a 55-year-old male who is alert but breathing with obvious difficulty. He is sitting tripod position using accessory muscles. He can only speak 2-3 words between breaths. RR is 32 and labored. SpO2 is 86%. How would you classify his breathing?,Breathing is adequate because he is alert,Breathing is present but inadequate. Accessory muscle use tripod position inability to speak in sentences tachypnea and low SpO2 indicate respiratory distress requiring oxygen and possibly assisted ventilation,This is normal for an older adult,He just needs to calm down,B,This patient shows multiple signs of respiratory distress and failure. Accessory muscle use tripod position fragmented speech and hypoxia indicate inadequate breathing despite effort. Provide high-flow oxygen and prepare to assist ventilations if he tires.
EMR-SCEN-034,Assessment,Primary Assessment,scenario,A 20-year-old male was in a fight and was stabbed in the chest. He is alert but anxious. You notice the wound makes a sucking sound with each breath. What type of wound is this and what should you do?,Minor wound that needs a bandage,Open pneumothorax or sucking chest wound. Air is entering the chest cavity through the wound. Cover with an occlusive dressing sealed on three sides or a commercial chest seal,The sound is normal,Only a doctor can treat this wound,B,A sucking sound indicates an open pneumothorax where air enters the pleural space through the wound. Cover immediately with an occlusive dressing taped on three sides to allow air to escape but not enter or use a vented chest seal.
EMR-SCEN-035,Assessment,Primary Assessment,scenario,An unresponsive patient has vomit in her mouth and is making gurgling sounds when breathing. What is the immediate priority?,Give oxygen by non-rebreather mask,Suction the airway immediately to clear the vomit then reassess breathing. Gurgling indicates fluid in the airway that must be cleared,Roll her over and wait for vomiting to stop,Begin CPR,B,Gurgling indicates liquid in the airway which must be cleared immediately. Suction the oropharynx with a rigid suction catheter. Position to allow drainage. Then reassess breathing and provide appropriate intervention.
EMR-SCEN-036,Assessment,Primary Assessment,scenario,You respond to a choking call. A 3-year-old is found unresponsive on the floor. The mother says he was eating hot dogs and suddenly could not breathe. He is now limp and blue with no breathing. What do you do?,Perform abdominal thrusts on the unconscious child,Begin CPR. For an unresponsive choking victim start chest compressions then look in the mouth before giving breaths and remove any visible object,Wait for advanced EMS with better equipment,Blind finger sweep to find the object,B,For an unresponsive choking victim of any age begin CPR. Chest compressions may help dislodge the object. Look in the mouth before each breath attempt and remove any visible object. Do not perform blind finger sweeps.
EMR-SCEN-037,Assessment,Secondary Assessment,scenario,You are examining a motorcycle crash patient. His left lower leg is angulated at the mid-shin with bone visible through a wound. The foot is pale and cool with no pulse at the ankle. What is this injury and what are the concerns?,Simple fracture just needs a splint,Open fracture with neurovascular compromise. Exposed bone indicates open fracture. Absent pulse with pale cool foot indicates blood vessel damage. Cover wound splint gently and transport urgently,Just a bad cut,The pale foot is normal after injury,B,An open fracture has bone exposed through a wound increasing infection risk. Absent distal pulse with pale cool foot indicates vascular injury and limb-threatening emergency. Cover wound with sterile dressing splint in position found and transport urgently.
