emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-271,Special Populations,Delivery,scenario,You are delivering a baby. The head has just delivered. What should you do next before the shoulders deliver?,Pull on the head to speed delivery,Check for the umbilical cord around the neck. Run your fingers along the baby's neck to feel for the cord. If present try to slip it over the head. If too tight clamp in two places and cut between before continuing delivery,Push the head back to slow things down,Nothing just wait for the shoulders,B,After head delivers immediately check for nuchal cord around the neck. This occurs in about 25% of deliveries. If loose slip over the head. If tight it must be clamped and cut to prevent strangulation as the body delivers.
EMR-SCEN-272,Special Populations,Delivery,scenario,The baby has delivered but is limp blue and not breathing. After drying and stimulating for 30 seconds there is no improvement. Heart rate is 80. What should you do?,The baby just needs more time to wake up,Begin positive pressure ventilation with BVM. Heart rate below 100 after stimulation requires ventilatory support. Provide effective ventilations at 40-60 per minute. Reassess HR after 30 seconds. If HR below 60 despite ventilation begin compressions,Start chest compressions immediately,Give the baby to the mother to warm up,B,Newborn HR below 100 after warming drying and stimulating requires positive pressure ventilation. Ventilate at 40-60 breaths per minute with bag-mask. Reassess after 30 seconds. CPR begins if HR remains below 60 despite effective ventilation.
EMR-SCEN-273,Special Populations,Delivery,scenario,After providing ventilations for 30 seconds the newborn's heart rate is now 50 and not improving. What should you do now?,Continue ventilations only,Begin chest compressions coordinated with ventilations at a 3:1 ratio. HR below 60 despite effective ventilation requires CPR. Use two-thumb technique with hands encircling chest. Compress one-third chest depth. Continue until HR above 60,Stop because the baby cannot be saved,Give oxygen only without compressions,B,Newborn with HR persistently below 60 despite adequate ventilation needs chest compressions. Use 3:1 ratio with 90 compressions and 30 breaths per minute. Most newborns respond to effective ventilation so ensure ventilations are producing chest rise.
EMR-SCEN-274,Special Populations,Delivery,scenario,You deliver a healthy baby who cries immediately and is pink. The mother is bleeding heavily from the vagina. The placenta has not yet delivered. What should you do about the bleeding?,Pull on the cord to deliver the placenta faster,Do NOT pull on the cord. Allow placenta to deliver naturally. Massage the uterine fundus to promote contraction. Have baby breastfeed if possible. Monitor bleeding closely. If bleeding is excessive treat mother for shock and transport urgently,The bleeding will stop when the placenta delivers,Pack the vagina with gauze,B,Never pull on the umbilical cord as this can cause cord avulsion or uterine inversion. Uterine massage stimulates contraction to control bleeding. Breastfeeding releases oxytocin which also promotes contraction. Monitor for shock if bleeding is excessive.
EMR-SCEN-275,Special Populations,Delivery,scenario,You notice the umbilical cord is delivering before the baby with the baby still high in the birth canal. What is this emergency and what should you do?,Normal variation in delivery sequence,Prolapsed umbilical cord which is an emergency. Insert your gloved hand and push the presenting part up off the cord to relieve compression. Keep pressure off the cord and the cord moist. Transport immediately with mother in knee-chest position for emergency cesarean,Wait for cord to retract on its own,Clamp and cut the cord,B,Cord prolapse is immediately life-threatening as the cord is compressed cutting off fetal blood supply. Insert hand and lift presenting part off cord. Keep cord moist. Position mother knee-chest or Trendelenburg to reduce pressure. Emergency cesarean is needed.
EMR-SCEN-276,Special Populations,Delivery,scenario,During delivery you see a foot presenting first instead of the head. The foot is now out up to the ankle but delivery is not progressing. What type of presentation is this and what should you do?,Normal delivery that just needs more time,Breech presentation with potential for complications. Support what has delivered without pulling. Transport immediately as this requires hospital delivery possibly cesarean. Do not attempt to pull the baby out as head can become trapped,Pull on the foot to complete delivery,Push the foot back in,B,Footling breech has high complication risk including cord prolapse and head entrapment. Support the presenting part and transport immediately. Do not pull as this can trap the head. Hospital delivery with possible cesarean is needed.
EMR-SCEN-277,Special Populations,Delivery,scenario,The baby's head delivers but the shoulders appear stuck. The mother is pushing but no progress is being made. What is this complication?,The baby is too big and cannot deliver,Shoulder dystocia. The anterior shoulder is stuck behind the pubic bone. Have the mother pull her knees sharply toward her chest McRoberts maneuver. Apply suprapubic pressure. Do not push on the uterus or pull hard on the head. This is an emergency,The mother just needs to push harder,Wait patiently for natural delivery,B,Shoulder dystocia is an emergency with the shoulder stuck behind the pubic bone. McRoberts maneuver sharp hip flexion changes the pelvic angle. Apply suprapubic not fundal pressure. Do not pull hard on the head as this can cause nerve injury.
EMR-SCEN-278,Special Populations,Delivery,scenario,You deliver a baby whose amniotic fluid is thick and greenish-brown. The baby has meconium on the skin and in the mouth. She is limp and not crying. What should you do?,Stimulate her vigorously to make her cry,Suction the mouth and nose before stimulating to reduce meconium aspiration risk. If she is not vigorous after clearing the airway provide positive pressure ventilation. Meconium aspiration can cause severe respiratory distress,The meconium is not a concern,Wait for her to start breathing on her own,B,Thick meconium with a non-vigorous baby requires suctioning before stimulation to reduce aspiration risk. If baby is not responding after clearing airway provide PPV. Meconium aspiration causes severe pneumonitis and respiratory failure.
EMR-SCEN-279,Special Populations,Delivery,scenario,A woman delivers twins. The first baby is healthy. The second baby delivers 10 minutes later but is smaller limp and blue with HR of 70. What should you do?,Twins usually have different APGAR scores. This is normal,Begin resuscitation of the second twin immediately. The second twin is in distress with HR below 100 and needs intervention. Each baby needs individual assessment and treatment. Provide PPV and continue until improvement or ALS arrives,Focus on the healthy twin,Wait to see if the second twin improves,B,Each baby in a multiple birth needs individual assessment. The second twin is showing signs of distress with low HR and cyanosis. Begin appropriate resuscitation. Being a twin does not change resuscitation guidelines.
EMR-SCEN-280,Special Populations,Neonatal,scenario,A full-term newborn is one minute old. She has a strong cry flexed extremities pink body with blue hands and feet grimaces with stimulation and HR of 140. What is her APGAR score?,5,8. Two points each for HR above 100 strong cry good tone and active grimace. One point for acrocyanosis blue extremities which is normal initially. APGAR of 7-10 indicates a healthy newborn,3,10,B,APGAR scoring: Activity 2 good tone. Pulse 2 above 100. Grimace 2 active grimace. Appearance 1 blue extremities pink body. Respirations 2 strong cry. Total is 8. Acrocyanosis blue hands and feet is normal in first minutes.
