emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-421,Trauma,Mechanism Assessment,scenario,A driver was in a frontal collision with significant steering wheel deformity. He denies chest pain but has abrasions on his chest. What injuries should you suspect despite no pain complaints?,Only skin abrasions,Possible cardiac contusion rib fractures sternal fracture and internal chest injuries. Steering wheel impact can cause serious thoracic trauma even without pain especially with adrenaline. Maintain high index of suspicion based on mechanism,No internal injuries if no pain,Minor bruising only,B,Mechanism suggests significant chest trauma despite absence of pain. Adrenaline can mask symptoms initially. Steering wheel deformity indicates energy transfer to chest. Suspect cardiac contusion rib fractures and internal injuries.
EMR-SCEN-422,Trauma,Penetrating Assessment,scenario,A patient has a gunshot wound to the abdomen with a small entrance wound and no visible exit wound. His abdomen is soft and he reports mild pain. Is this reassuring?,Yes small wound and soft abdomen means minor injury,No penetrating abdominal trauma is serious regardless of exam findings. Bullets can cause significant internal damage with minimal external signs. Soft abdomen initially can become rigid as bleeding or contamination develops. Assume serious injury and transport emergently,Only check back for exit wound,Give him pain medication and observe,B,Never be reassured by minimal external findings with penetrating trauma. Bullets cause unpredictable internal injury paths. Internal bleeding and hollow organ perforation may not be immediately apparent. This is a surgical emergency.
EMR-SCEN-423,Trauma,Blast Injury,scenario,An explosion occurred at a construction site. A patient 20 feet from the blast has no visible injuries but complains of ringing ears and abdominal discomfort. What injuries should you suspect?,No injuries since no visible trauma,Primary blast injuries to air-filled organs. Blast waves damage air-filled structures including ears lungs and intestines. Tympanic membrane rupture and blast lung are possible. Abdominal discomfort may indicate bowel injury. Transport for evaluation,Just minor hearing issue,Only psychological effects,B,Blast injuries occur in phases. Primary blast injury affects air-filled organs from pressure wave even without visible trauma. Ear ringing suggests possible TM rupture. Abdominal discomfort may indicate bowel injury. All blast victims need evaluation.
EMR-SCEN-424,Trauma,Fall Assessment,scenario,An 8-year-old fell 12 feet from a tree landing on his feet. He has bilateral heel pain and lower back pain. He can move his legs and has sensation. What pattern of injury does this suggest?,Only foot injuries,Axial loading pattern. Falls onto feet transmit force up through heels to spine. Calcaneal heel fractures often accompany lumbar compression fractures. Maintain spinal precautions. The presence of sensation and movement does not rule out spinal injury,Back pain is from fear,No spinal injury if he can move legs,B,Falls onto feet cause axial loading injuries. Force transmits from heels through legs to spine. This mechanism commonly causes calcaneal and lumbar fractures together. Maintain spinal precautions despite presence of sensation and movement.
EMR-SCEN-425,Trauma,Cervical Spine,scenario,A diver struck his head on the bottom of a pool. He cannot move his arms or legs and has no sensation below his shoulders. He is breathing but with only abdominal movement. What level of injury does this suggest and what is your concern?,Low back injury,High cervical spine injury approximately C3-C5 level. Breathing with only diaphragm abdominal movement and no intercostal chest movement suggests injury at or above C5 where phrenic nerve originates. He may lose diaphragm function. Prepare for ventilatory support,Thoracic spine injury,He will be fine,B,Quadriplegia with only diaphragmatic breathing indicates high cervical injury. The phrenic nerve C3-C5 controls the diaphragm. Higher injury could cause complete respiratory arrest. This patient is at risk for respiratory failure and needs close monitoring.
EMR-SCEN-426,Trauma,Facial Trauma,scenario,A patient struck the dashboard face-first. He has massive facial swelling bilateral periorbital ecchymosis and clear fluid draining from his nose. He is confused. What do these findings indicate?,Simple facial fractures,Severe facial fractures with likely basilar skull fracture. Bilateral periorbital bruising raccoon eyes and CSF rhinorrhea clear nasal drainage indicate skull base fracture. Do NOT insert NPA. Confusion indicates possible brain injury. Protect airway and transport emergently,Minor nose bleed,Allergic reaction,B,Raccoon eyes and CSF rhinorrhea indicate basilar skull fracture. NPA is contraindicated. Confusion suggests associated brain injury. This is serious multi-system trauma requiring emergent neurosurgical and trauma evaluation. Protect airway without nasal adjuncts.
EMR-SCEN-427,Trauma,Neck Injury,scenario,A patient has a stab wound to the lateral neck. There is moderate bleeding and you can see bubbling from the wound when he breathes. What does the bubbling indicate and how should you manage this?,The wound is minor,Air is entering through the wound indicating tracheal or major airway injury. Cover with occlusive dressing to prevent air embolism and further contamination. Apply direct pressure for bleeding control. This is immediately life-threatening. Transport emergently,Just clean and bandage it,The bubbling is normal,B,Bubbling from neck wound indicates communication with airway. This creates risk of air embolism and respiratory compromise. Cover with occlusive dressing and apply pressure. This penetrating neck trauma near major vessels and airway is critical.
EMR-SCEN-428,Trauma,Chest Wall,scenario,After a motorcycle crash a patient has paradoxical movement of the right chest wall. The right side moves in when he breathes in and out when he breathes out. What is this finding and its significance?,Normal breathing variation,Flail chest from multiple rib fractures. Paradoxical movement occurs when a segment of chest wall loses bony continuity and moves opposite to normal. This impairs ventilation and indicates underlying lung contusion. Provide oxygen support breathing and transport rapidly,Muscle spasm,Anxiety breathing,B,Paradoxical chest wall movement indicates flail segment from multiple rib fractures. This impairs ventilation mechanics. Underlying pulmonary contusion is common. Patient may need ventilatory support. Stabilize and transport to trauma center.
EMR-SCEN-429,Trauma,Abdominal,scenario,A seat-belted driver has a visible bruise across his lower abdomen from the lap belt. He has diffuse abdominal tenderness. What is the seat belt sign and what does it suggest?,Bruising means the belt protected him,Seat belt sign indicates significant force transfer to abdomen. It is associated with hollow organ rupture small bowel and solid organ injury. Lumbar spine fractures also occur with lap belt injuries. Maintain spinal precautions and transport for CT evaluation,The belt caused superficial bruise only,Remove the belt and he will improve,B,Seat belt sign ecchymosis from belt is associated with intra-abdominal injury including bowel perforation and mesenteric tears. Lumbar spine fracture Chance fracture also occurs. This patient needs CT imaging and close monitoring.
EMR-SCEN-430,Trauma,Pelvic Fracture,scenario,A pedestrian struck by a car has severe pain in both hips and pelvis. His pelvis feels unstable when you gently assess it. He is hypotensive and tachycardic. Why is pelvic instability particularly dangerous?,Pelvic fractures are minor injuries,Unstable pelvic fractures cause massive internal hemorrhage. The pelvis contains major blood vessels and fractures can cause several liters of blood loss into the retroperitoneum. Do not repeatedly test stability. Apply pelvic binder if available. Treat for shock and transport emergently,The pain will resolve,Only causes bruising,B,Unstable pelvic fractures are life-threatening emergencies. The pelvis is highly vascular and fractures can cause exsanguinating hemorrhage. Apply pelvic binder to reduce volume and stabilize. Aggressive shock treatment and rapid transport to trauma center are critical.
