emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-051,Airway,Airway Assessment,scenario,You find an unconscious patient lying on their back. When you open the airway with head-tilt chin-lift you hear no breath sounds and see no chest movement. You give two rescue breaths but the chest does not rise. What should you do next?,Give more forceful breaths,Reposition the head and try again. If airway is not adequately opened breaths will not enter. Ensure adequate head extension and chin lift then reattempt ventilation,The patient is dead,Switch to a non-rebreather mask,B,If initial breaths do not produce chest rise the most common cause is improper head positioning. Reposition ensuring adequate head extension and chin lift. If breaths still do not enter consider airway obstruction and follow choking protocols.
EMR-SCEN-052,Airway,Airway Assessment,scenario,An unresponsive patient has sonorous respirations that sound like snoring. What is the most likely cause and what is your intervention?,The patient is just sleeping deeply,The tongue is falling back and partially blocking the airway. Perform head-tilt chin-lift or jaw thrust to lift the tongue forward and open the airway,The patient has asthma,Place a pillow under their head,B,Sonorous respirations or snoring in an unconscious patient indicates the tongue has fallen back against the posterior pharynx. Head-tilt chin-lift lifts the tongue by moving the mandible forward. This is the most common cause of airway obstruction in unconscious patients.
EMR-SCEN-053,Airway,Airway Assessment,scenario,A patient with facial burns from a house fire has singed nasal hairs hoarse voice and is coughing black sputum. His breathing is currently adequate with SpO2 of 96%. Why are these findings concerning?,They are minor findings since his oxygen is good,These signs indicate inhalation injury. The airway can swell over hours and completely obstruct. Current good oxygenation does not predict future airway status. Alert hospital for possible emergency airway intervention,The black sputum will clear with coughing,Hoarseness will resolve on its own,B,Singed nasal hairs soot in sputum and hoarse voice indicate thermal and smoke inhalation injury. Progressive airway edema can cause complete obstruction hours later. Current SpO2 does not predict airway deterioration. Early hospital notification is essential.
EMR-SCEN-054,Airway,OPA Insertion,scenario,You need to insert an OPA in an unconscious adult patient. How do you select the correct size?,Measure from the corner of the mouth to the earlobe or angle of the jaw. This ensures the OPA is long enough to hold the tongue forward but not so long it pushes the epiglottis closed,Always use the largest size available,Measure from the lips to the chin,Use the smallest size to avoid injury,A,Correct OPA sizing is critical. Measure from the corner of the mouth to the earlobe or angle of the jaw. Too small will not hold the tongue. Too large can push the epiglottis down and obstruct the airway or cause trauma.
EMR-SCEN-055,Airway,OPA Insertion,scenario,You begin inserting an OPA in an unresponsive patient. As the device touches the back of his throat he gags and starts to vomit. What should you do?,Push the OPA in quickly before more vomiting,Remove the OPA immediately. The gag reflex indicates the patient is not deeply enough unconscious for OPA. Suction vomit turn patient to side and consider NPA instead,Hold the OPA in place until vomiting stops,This reaction is normal continue insertion,B,OPA is contraindicated in patients with a gag reflex. Insertion can stimulate vomiting and aspiration. If gagging occurs remove OPA immediately suction the airway position to drain secretions. Consider NPA which is better tolerated in patients with intact gag reflex.
EMR-SCEN-056,Airway,OPA Insertion,scenario,What is the correct technique for inserting an OPA in an adult patient?,Insert with tip pointing up rotating 180 degrees as it passes the tongue then advance until flange rests on lips,Insert straight in without rotation,Insert with curve facing tongue,Insert through the nose,A,For adults insert OPA with tip pointing toward roof of mouth. As it passes the tongue rotate 180 degrees so the curve follows the tongue contour. Advance until the flange rests on the lips. This prevents pushing the tongue backward.
EMR-SCEN-057,Airway,NPA Insertion,scenario,An unconscious patient has a gag reflex and you cannot use an OPA. You decide to insert an NPA. How do you determine correct size?,Measure from tip of nose to earlobe or corner of mouth. Diameter should approximate the patient's little finger or nostril size,Use the same size as an OPA,Always use the smallest size,Measure from nostril to nostril,A,NPA size is determined by measuring from the tip of the nose to the earlobe or corner of the mouth. Diameter should approximate the patient's little finger or nostril. Too long can enter the esophagus too short provides no benefit.
EMR-SCEN-058,Airway,NPA Insertion,scenario,You are preparing to insert an NPA. Which nostril should you use and what direction should you insert it?,Either nostril. Insert perpendicular to face along floor of nasal cavity with bevel toward septum,Always use the left nostril,Insert upward toward brain,Insert with bevel away from septum,A,Insert NPA in the nostril that appears larger and unobstructed. Direct perpendicular to the face along the floor of nasal cavity not upward. Bevel should face the septum to reduce trauma to turbinates. Lubricate with water-soluble lubricant.
EMR-SCEN-059,Airway,NPA Insertion,scenario,A trauma patient has clear fluid draining from his nose and blood behind his eardrums. You need to maintain his airway. Should you insert an NPA?,Yes NPAs are safe in all trauma patients,No. Clear fluid from nose with blood behind eardrums suggests basilar skull fracture. NPA is contraindicated as it could enter the cranial cavity. Use jaw thrust and consider OPA if no gag reflex,Only if he is unconscious,Only use left nostril,B,Suspected basilar skull fracture with CSF rhinorrhea is a contraindication to NPA. The cribriform plate may be fractured and NPA could enter the cranial vault. Use jaw thrust for airway maintenance. OPA is acceptable if no gag reflex.
EMR-SCEN-060,Airway,Suction,scenario,An unconscious patient has copious vomit in their mouth and is making gurgling sounds with each breath. You have a portable suction unit. How should you suction the airway?,Suction continuously for as long as it takes to clear the airway,Suction for no more than 10-15 seconds at a time. Prolonged suctioning removes oxygen. If airway is not clear allow patient to breathe between attempts,Insert suction catheter as deep as possible,Suctioning is not needed if patient is breathing,B,Suction should be limited to 10-15 seconds to prevent hypoxia. If the airway is not clear pause to allow oxygenation then suction again. Use rigid catheter for thick secretions. Never insert beyond where you can see in the oropharynx.
